pid,survived,honor,sex,clare,age,fare,origin,cabin,alone,port,sisp,pach
455,0,mr,male,1,40,9,eng,0,True,S,0,0
456,1,mr,male,1,32,9,other,0,True,C,0,0
460,0,mr,male,1,40,9,eng,0,True,Q,0,0
462,0,mr,male,1,40,9,eng,0,True,S,0,0
465,0,mr,male,1,40,9,eng,0,True,S,0,0
466,0,mr,male,1,40,9,other,0,True,S,0,0
467,0,mr,male,1,40,9,eng,0,True,S,0,0
469,0,mr,male,1,40,9,eng,0,True,Q,0,0
471,0,mr,male,1,40,9,eng,0,True,S,0,0
472,0,mr,male,1,40,9,other,0,True,S,0,0
478,0,mr,male,1,32,9,eng,0,False,S,1,0
479,0,mr,male,1,26,9,other,0,True,S,0,0
482,0,mr,male,1,40,9,eng,0,True,S,0,0
483,0,mr,male,1,51,9,eng,0,True,S,0,0
489,0,mr,male,1,32,9,eng,0,True,S,0,0
492,0,mr,male,1,26,9,other,0,True,S,0,0
495,0,mr,male,1,26,9,eng,0,True,S,0,0
500,0,mr,male,1,26,9,other,0,True,S,0,0
501,0,mr,male,1,21,9,other,0,True,S,0,0
502,0,miss,female,1,26,9,eng,0,True,Q,0,0
503,0,miss,female,1,32,9,eng,0,True,Q,0,0
511,1,mr,male,1,32,9,eng,0,True,Q,0,0
512,0,mr,male,1,40,9,eng,0,True,S,0,0
515,0,mr,male,1,26,9,other,0,True,S,0,0
520,0,mr,male,1,40,9,other,0,True,S,0,0
522,0,mr,male,1,26,9,other,0,True,S,0,0
523,0,mr,male,1,40,9,other,0,True,C,0,0
525,0,mr,male,1,40,9,other,0,True,C,0,0
526,0,mr,male,1,50,9,eng,0,True,Q,0,0
529,0,mr,male,1,40,9,other,0,True,S,0,0
532,0,mr,male,1,40,9,other,0,True,C,0,0
533,0,mr,male,1,21,9,eng,0,False,C,1,1
535,0,miss,female,1,32,9,other,0,True,S,0,0
553,0,mr,male,1,40,9,eng,0,True,Q,0,0
554,1,mr,male,1,26,9,other,0,True,C,0,0
555,1,miss,female,1,26,9,other,0,True,S,0,0
561,0,mr,male,1,40,9,eng,0,True,Q,0,0
562,0,mr,male,1,50,9,other,0,True,S,0,0
564,0,mr,male,1,40,9,eng,0,True,S,0,0
565,0,miss,female,1,32,9,other,0,True,S,0,0
567,0,mr,male,1,21,9,other,0,True,S,0,0
569,0,mr,male,1,40,9,other,0,True,C,0,0
570,1,mr,male,1,40,9,other,0,True,S,0,0
574,1,miss,female,1,32,9,eng,0,True,Q,0,0
575,0,mr,male,1,21,9,eng,0,True,S,0,0
580,1,mr,male,1,40,9,other,0,True,S,0,0
585,0,mr,male,1,40,9,other,0,True,C,0,0
589,0,mr,male,1,26,9,other,0,True,S,0,0
590,0,mr,male,1,40,9,eng,0,True,S,0,0
591,0,mr,male,1,40,9,other,0,True,S,0,0
593,0,mr,male,1,50,9,eng,0,True,S,0,0
594,0,miss,female,1,21,9,eng,0,False,Q,0,2
598,0,mr,male,1,50,9,eng,0,True,S,0,0
599,0,mr,male,1,40,9,other,0,True,C,0,0
602,0,mr,male,1,40,9,other,0,True,S,0,0
604,0,mr,male,1,50,9,other,0,True,S,0,0
607,0,mr,male,1,32,9,other,0,True,S,0,0
612,0,mr,male,1,40,9,other,0,True,S,0,0
614,0,mr,male,1,40,9,eng,0,True,Q,0,0
615,0,mr,male,1,40,9,eng,0,True,S,0,0
624,0,mr,male,1,26,9,eng,0,True,S,0,0
629,0,mr,male,1,32,9,other,0,True,S,0,0
630,0,mr,male,1,40,9,eng,0,True,Q,0,0
632,0,mr,male,1,51,9,other,0,True,S,0,0
634,0,mr,male,1,50,9,eng,0,True,S,0,0
637,0,mr,male,1,40,9,other,0,True,S,0,0
641,0,mr,male,1,21,9,other,0,True,S,0,0
647,0,mr,male,1,21,9,other,0,True,S,0,0
649,0,mr,male,1,40,9,eng,0,True,S,0,0
650,1,miss,female,1,26,9,eng,0,True,S,0,0
651,0,mr,male,1,40,9,other,0,True,S,0,0
653,0,mr,male,1,26,9,other,0,True,S,0,0
654,1,miss,female,1,32,9,eng,0,True,Q,0,0
655,0,miss,female,1,21,9,eng,0,True,Q,0,0
657,0,mr,male,1,40,9,eng,0,True,S,0,0
662,0,mr,male,1,50,9,other,0,True,C,0,0
664,0,mr,male,1,40,9,other,0,True,S,0,0
665,1,mr,male,1,21,9,other,0,False,S,1,0
668,0,mr,male,1,40,9,other,0,True,S,0,0
669,0,mr,male,1,50,9,eng,0,True,S,0,0
675,0,mr,male,1,40,9,eng,0,True,S,0,0
676,0,mr,male,1,21,9,other,0,True,S,0,0
677,0,mr,male,1,26,9,eng,0,True,S,0,0
681,0,miss,female,1,32,9,eng,0,True,Q,0,0
689,0,mr,male,1,21,9,other,0,True,S,0,0
694,0,mr,male,1,26,9,other,0,True,C,0,0
697,0,mr,male,1,50,9,eng,0,True,S,0,0
698,1,miss,female,1,32,9,eng,0,True,Q,0,0
700,0,mr,male,1,50,9,other,1,True,S,0,0
704,0,mr,male,1,26,9,eng,0,True,Q,0,0
705,0,mr,male,1,32,9,other,0,False,S,1,0
716,0,mr,male,1,21,9,eng,1,True,S,0,0
720,0,mr,male,1,40,9,other,0,True,S,0,0
722,0,mr,male,1,21,9,other,0,False,S,1,0
726,0,mr,male,1,21,9,other,0,True,S,0,0
728,1,miss,female,1,32,9,other,0,True,Q,0,0
730,0,miss,female,1,26,9,other,0,False,S,1,0
733,0,mr,male,1,40,9,eng,0,True,S,0,0
739,0,mr,male,1,40,9,other,0,True,S,0,0
740,0,mr,male,1,40,9,other,0,True,S,0,0
745,1,mr,male,1,32,9,other,0,True,S,0,0
750,0,mr,male,1,32,9,eng,0,True,Q,0,0
754,0,mr,male,1,26,9,other,0,True,S,0,0
757,0,mr,male,1,32,9,other,0,True,S,0,0
759,0,mr,male,1,40,9,eng,0,True,S,0,0
762,0,mr,male,1,50,9,other,0,True,S,0,0
763,1,mr,male,1,21,9,other,0,True,C,0,0
765,0,mr,male,1,21,9,other,0,True,S,0,0
768,0,miss,female,1,32,9,eng,0,True,Q,0,0
770,0,mr,male,1,40,9,eng,0,True,S,0,0
772,0,mr,male,1,50,9,other,0,True,S,0,0
774,0,mr,male,1,40,9,other,0,True,C,0,0
776,0,mr,male,1,21,9,other,0,True,S,0,0
777,0,mr,male,1,40,9,eng,1,True,Q,0,0
779,0,mr,male,1,40,9,eng,0,True,Q,0,0
781,1,miss,female,1,21,9,other,0,True,C,0,0
785,0,mr,male,1,26,9,eng,0,True,S,0,0
786,0,mr,male,1,26,9,eng,0,True,S,0,0
787,1,miss,female,1,21,9,eng,0,True,S,0,0
791,0,mr,male,1,40,9,eng,0,True,Q,0,0
795,0,mr,male,1,26,9,other,0,True,S,0,0
798,1,mrs,female,1,32,9,other,0,True,S,0,0
799,0,mr,male,1,32,9,other,0,True,C,0,0
804,1,master,male,1,13,9,other,0,False,C,0,1
805,1,mr,male,1,32,9,other,0,True,S,0,0
806,0,mr,male,1,32,9,other,0,True,S,0,0
807,0,mr,male,1,40,9,eng,1,True,S,0,0
808,0,miss,female,1,21,9,eng,0,True,S,0,0
811,0,mr,male,1,32,9,eng,0,True,S,0,0
815,0,mr,male,1,32,9,eng,0,True,S,0,0
816,0,mr,male,1,50,9,eng,1,True,S,0,0
817,0,miss,female,1,26,9,other,0,True,S,0,0
819,0,mr,male,1,50,9,eng,0,True,S,0,0
822,1,mr,male,1,32,9,other,0,True,S,0,0
823,0,mr,male,1,40,9,eng,0,True,S,0,0
826,0,mr,male,1,40,9,eng,0,True,Q,0,0
829,1,mr,male,1,40,9,eng,0,True,Q,0,0
833,0,mr,male,1,40,9,other,0,True,C,0,0
834,0,mr,male,1,26,9,eng,0,True,S,0,0
835,0,mr,male,1,21,9,eng,0,True,S,0,0
837,0,mr,male,1,26,9,other,0,True,S,0,0
838,0,mr,male,1,40,9,eng,0,True,S,0,0
841,0,mr,male,1,21,9,other,0,True,S,0,0
844,0,mr,male,1,40,9,eng,0,True,C,0,0
845,0,mr,male,1,21,9,other,0,True,S,0,0
846,0,mr,male,1,50,9,eng,0,True,S,0,0
848,0,mr,male,1,40,9,other,0,True,C,0,0
852,0,mr,male,1,51,9,other,0,True,S,0,0
860,0,mr,male,1,40,9,other,0,True,C,0,0
871,0,mr,male,1,32,9,eng,0,True,S,0,0
873,0,mr,male,1,40,9,other,1,True,S,0,0
876,1,miss,female,1,21,9,other,0,True,C,0,0
878,0,mr,male,1,21,9,other,0,True,S,0,0
879,0,mr,male,1,40,9,other,0,True,S,0,0
882,0,mr,male,1,40,9,other,0,True,S,0,0
885,0,mr,male,1,26,9,eng,0,True,S,0,0
891,0,mr,male,1,40,9,eng,0,True,Q,0,0
8,0,master,male,2,13,40,other,0,False,S,3,1
9,1,mrs,female,2,32,20,eng,0,False,S,0,2
11,1,lass,female,2,13,20,other,1,False,S,1,1
14,0,mr,male,2,40,40,other,0,False,S,1,5
17,0,master,male,2,13,40,eng,0,False,Q,4,1
19,0,mrs,female,2,32,20,other,0,False,S,1,0
25,0,lass,female,2,13,40,other,0,False,S,3,1
26,1,mrs,female,2,40,40,other,0,False,S,1,5
39,0,miss,female,2,21,20,other,0,False,S,2,0
40,1,miss,female,2,21,20,other,0,False,C,1,0
41,0,mrs,female,2,50,20,other,0,False,S,1,0
47,0,mr,male,2,32,20,other,0,False,Q,1,0
49,0,mr,male,2,32,40,other,0,False,C,2,0
50,0,mrs,female,2,21,20,other,0,False,S,1,0
51,0,master,male,2,13,40,other,0,False,S,4,1
60,0,master,male,2,13,41,eng,0,False,S,5,2
64,0,master,male,2,13,40,other,0,False,S,3,2
66,1,master,male,2,21,20,other,0,False,C,1,1
72,0,miss,female,2,21,41,eng,0,False,S,5,2
74,0,mr,male,2,32,20,other,0,False,C,1,0
75,1,mr,male,2,40,41,eng,0,True,S,0,0
80,1,miss,female,2,32,20,eng,0,True,S,0,0
81,0,mr,male,2,26,20,other,0,True,S,0,0
82,1,mr,male,2,32,20,other,0,True,S,0,0
86,1,mrs,female,2,40,20,other,0,False,S,3,0
87,0,mr,male,2,21,40,eng,0,False,S,1,3
94,0,mr,male,2,32,40,eng,0,False,S,1,2
110,1,miss,female,2,26,40,other,0,False,Q,1,0
112,0,miss,female,2,21,20,other,0,False,C,1,0
114,0,miss,female,2,21,20,other,0,False,S,1,0
115,0,miss,female,2,21,20,other,0,True,C,0,0
120,0,lass,female,2,13,40,eng,0,False,S,4,2
126,1,master,male,2,13,20,other,0,False,C,1,0
129,1,miss,female,2,21,40,eng,1,False,C,1,1
133,0,mrs,female,2,50,20,eng,0,False,S,1,0
139,0,mr,male,2,21,20,other,0,True,S,0,0
141,0,mrs,female,2,40,20,eng,0,False,C,0,2
143,1,mrs,female,2,26,20,other,0,False,S,1,0
148,0,lass,female,2,13,40,eng,0,False,S,2,2
154,0,mr,male,2,50,20,eng,0,False,S,0,2
160,0,master,male,2,26,41,eng,0,False,S,8,2
161,0,mr,male,2,50,20,eng,0,False,S,0,1
165,0,master,male,2,13,40,other,0,False,S,4,1
166,1,master,male,2,13,40,eng,0,False,S,0,2
168,0,mrs,female,2,50,40,eng,0,False,S,1,4
170,0,mr,male,2,32,41,eng,0,True,S,0,0
172,0,master,male,2,13,40,eng,0,False,Q,4,1
173,1,lass,female,2,13,20,eng,0,False,S,1,1
177,0,master,male,2,21,40,eng,0,False,S,3,1
181,0,miss,female,2,26,41,eng,0,False,S,8,2
183,0,master,male,2,13,40,eng,0,False,S,4,2
185,1,lass,female,2,13,40,other,0,False,S,0,2
187,1,mrs,female,2,40,20,eng,0,False,Q,1,0
189,0,mr,male,2,50,20,eng,0,False,Q,1,1
201,0,mr,male,2,32,20,other,0,True,S,0,0
202,0,mr,male,2,40,41,eng,0,False,S,8,2
206,0,lass,female,2,13,20,other,1,False,S,0,1
207,0,mr,male,2,40,20,other,0,False,S,1,0
208,1,mr,male,2,32,20,other,0,True,C,0,0
226,0,mr,male,2,26,20,other,0,True,S,0,0
230,0,miss,female,2,21,40,other,0,False,S,3,1
234,1,lass,female,2,13,40,eng,0,False,S,4,2
241,0,miss,female,2,26,20,other,0,False,C,1,0
242,1,miss,female,2,26,20,eng,0,False,Q,1,0
252,0,mrs,female,2,32,20,other,1,False,S,1,1
254,0,mr,male,2,32,20,eng,0,False,S,1,0
255,0,mrs,female,2,50,40,other,0,False,S,0,2
256,1,mrs,female,2,32,20,other,0,False,C,0,2
262,1,master,male,2,13,40,other,0,False,S,4,2
267,0,mr,male,2,21,40,other,0,False,S,4,1
279,0,master,male,2,13,40,eng,0,False,Q,4,1
280,1,mrs,female,2,40,40,eng,0,False,S,1,1
283,0,mr,male,2,21,20,other,0,True,S,0,0
287,1,mr,male,2,32,20,eng,0,True,S,0,0
302,1,mr,male,2,32,40,eng,0,False,Q,2,0
325,0,mr,male,2,40,41,eng,0,False,S,8,2
329,1,mrs,female,2,32,40,eng,0,False,S,1,1
331,1,miss,female,2,26,40,eng,0,False,Q,2,0
334,0,mr,male,2,21,20,other,0,False,S,2,0
348,1,mrs,female,2,40,20,eng,0,False,S,1,0
349,1,master,male,2,13,20,eng,0,False,S,1,1
351,0,mr,male,2,26,20,other,0,True,S,0,0
354,0,mr,male,2,26,20,other,0,False,S,1,0
356,0,mr,male,2,32,20,other,0,True,S,0,0
361,0,mr,male,2,50,40,other,0,False,S,1,4
363,0,mrs,female,2,50,20,other,0,False,C,0,1
365,0,mr,male,2,32,20,eng,0,False,Q,1,0
375,0,lass,female,2,13,40,other,0,False,S,3,1
382,1,lass,female,2,13,20,other,0,False,C,0,2
387,0,master,male,2,13,41,eng,0,False,S,5,2
395,1,mrs,female,2,26,20,other,1,False,S,0,2
403,0,miss,female,2,26,20,eng,0,False,S,1,0
404,0,mr,male,2,32,20,other,0,False,S,1,0
410,0,miss,female,2,21,40,eng,0,False,S,3,1
420,0,lass,female,2,13,40,other,0,False,S,0,2
424,0,mrs,female,2,32,20,other,0,False,S,1,1
425,0,mr,male,2,21,40,other,0,False,S,1,1
432,1,mrs,female,2,40,20,other,0,False,S,1,0
437,0,miss,female,2,26,40,other,0,False,S,2,2
442,0,mr,male,2,21,20,eng,0,True,S,0,0
449,1,lass,female,2,13,20,other,0,False,C,2,1
452,0,mr,male,2,32,20,other,0,False,S,1,0
470,1,lass,female,2,13,20,other,0,False,C,2,1
475,0,miss,female,2,26,20,eng,0,True,S,0,0
480,1,lass,female,2,13,20,other,0,False,S,0,1
481,0,master,male,2,13,41,eng,0,False,S,5,2
484,1,mrs,female,2,51,20,other,0,True,S,0,0
486,0,miss,female,2,21,40,eng,0,False,S,3,1
490,1,master,male,2,13,20,other,0,False,S,1,1
491,0,mr,male,2,32,20,other,0,False,S,1,0
496,0,mr,male,2,40,20,other,0,True,C,0,0
498,0,mr,male,2,40,20,eng,0,True,S,0,0
504,0,miss,female,2,40,20,other,0,True,S,0,0
509,0,mr,male,2,32,40,eng,0,True,S,0,0
510,1,mr,male,2,32,41,other,0,True,S,0,0
518,0,mr,male,2,40,40,eng,0,True,Q,0,0
534,1,mrs,female,2,40,40,other,0,False,C,0,2
539,0,mr,male,2,40,20,eng,0,True,S,0,0
542,0,lass,female,2,13,40,other,0,False,S,4,2
543,0,lass,female,2,13,40,other,0,False,S,4,2
549,0,mr,male,2,40,40,eng,0,False,S,1,1
560,1,mrs,female,2,40,20,other,0,False,S,1,0
566,0,mr,male,2,26,40,eng,0,False,S,2,0
568,0,mrs,female,2,32,40,other,0,False,S,0,4
576,0,mr,male,2,21,20,eng,0,True,S,0,0
579,0,mrs,female,2,40,20,eng,0,False,C,1,0
596,0,mr,male,2,40,40,other,0,False,S,1,1
606,0,mr,male,2,40,20,other,0,False,S,1,0
611,0,mrs,female,2,40,40,other,0,False,S,1,5
613,1,miss,female,2,26,20,eng,0,False,Q,1,0
617,0,mr,male,2,40,20,other,0,False,S,1,1
618,0,mrs,female,2,32,20,eng,0,False,S,1,0
621,0,mr,male,2,32,20,other,0,False,C,1,0
623,1,mr,male,2,21,20,other,0,False,C,1,1
625,0,mr,male,2,26,20,eng,0,True,S,0,0
635,0,lass,female,2,13,40,eng,0,False,S,3,2
639,0,mrs,female,2,50,40,other,0,False,S,0,5
640,0,mr,male,2,32,20,other,0,False,S,1,0
643,0,lass,female,2,13,40,other,0,False,S,3,2
644,1,mr,male,2,40,41,other,0,True,S,0,0
645,1,lass,female,2,13,20,other,0,False,C,2,1
658,0,mrs,female,2,40,20,eng,0,False,Q,1,1
678,1,miss,female,2,21,20,eng,0,True,S,0,0
679,0,mrs,female,2,50,41,eng,0,False,S,1,6
683,0,mr,male,2,21,20,other,0,True,S,0,0
684,0,mr,male,2,21,41,eng,0,False,S,5,2
687,0,mr,male,2,21,40,other,0,False,S,4,1
688,0,mr,male,2,21,20,other,0,True,S,0,0
692,1,lass,female,2,13,20,other,0,False,C,0,1
693,1,mr,male,2,40,41,other,0,True,S,0,0
703,0,miss,female,2,21,20,other,0,False,C,0,1
710,1,master,male,2,21,20,other,0,False,C,1,1
714,0,mr,male,2,32,20,other,0,True,S,0,0
719,0,mr,male,2,40,20,eng,0,True,Q,0,0
732,0,mr,male,2,13,20,other,0,True,C,0,0
736,0,mr,male,2,32,20,eng,0,True,S,0,0
737,0,mrs,female,2,50,40,eng,0,False,S,1,3
744,0,mr,male,2,26,20,eng,0,False,S,1,0
747,0,mr,male,2,21,40,other,0,False,S,1,1
752,1,master,male,2,13,20,other,1,False,S,0,1
753,0,mr,male,2,40,20,other,0,True,S,0,0
761,0,mr,male,2,40,20,eng,0,True,S,0,0
769,0,mr,male,2,32,40,eng,0,False,Q,1,0
771,0,mr,male,2,26,20,eng,0,True,S,0,0
778,1,lass,female,2,13,20,eng,0,True,S,0,0
784,0,mr,male,2,40,40,eng,0,False,S,1,2
788,0,master,male,2,13,40,eng,0,False,Q,4,1
789,1,master,male,2,13,40,eng,0,False,S,1,2
793,0,miss,female,2,26,41,eng,0,False,S,8,2
800,0,mrs,female,2,32,40,other,0,False,S,1,1
812,0,mr,male,2,40,40,eng,0,True,S,0,0
814,0,lass,female,2,13,40,other,0,False,S,4,2
820,0,master,male,2,13,40,other,0,False,S,3,2
824,1,mrs,female,2,32,20,other,1,False,S,0,1
825,0,master,male,2,13,40,other,0,False,S,4,1
827,0,mr,male,2,40,41,eng,0,True,S,0,0
831,1,mrs,female,2,21,20,other,0,False,C,1,0
839,1,mr,male,2,40,41,other,0,True,S,0,0
847,0,mr,male,2,40,41,eng,0,False,S,8,2
851,0,master,male,2,13,40,other,0,False,S,4,2
853,0,lass,female,2,13,20,other,0,False,C,1,1
856,1,mrs,female,2,21,20,eng,0,False,S,0,1
859,1,mrs,female,2,26,20,other,0,False,C,0,3
861,0,mr,male,2,50,20,other,0,False,S,2,0
864,0,miss,female,2,26,41,eng,0,False,S,8,2
869,0,mr,male,2,40,20,other,0,True,S,0,0
870,1,master,male,2,13,20,eng,0,False,S,1,1
874,0,mr,male,2,50,20,eng,0,True,S,0,0
877,0,mr,male,2,21,20,eng,0,True,S,0,0
883,0,miss,female,2,26,20,other,0,True,S,0,0
886,0,mrs,female,2,40,40,eng,0,False,Q,0,5
889,0,miss,female,2,21,40,other,0,False,S,1,2
16,1,mrs,female,3,51,20,eng,0,True,S,0,0
