pid,survived,honor,sex,clare,age,fare,origin,cabin,alone
295,0,mr,male,1,26,9,other,0,True
297,0,mr,male,1,26,9,other,0,True
301,1,miss,female,1,32,9,eng,0,True
303,0,mr,male,1,21,9,eng,0,True
305,0,mr,male,1,40,9,eng,0,True
314,0,mr,male,1,32,9,other,0,True
316,1,miss,female,1,32,9,other,0,True
321,0,mr,male,1,26,9,eng,0,True
322,0,mr,male,1,32,9,other,0,True
327,0,mr,male,1,51,9,other,0,True
336,0,mr,male,1,40,9,other,0,True
339,1,mr,male,1,50,9,other,0,True
350,0,mr,male,1,50,9,other,0,True
353,0,mr,male,1,21,9,other,0,False
355,0,mr,male,1,40,9,other,0,True
359,1,miss,female,1,32,9,eng,0,True
360,1,miss,female,1,32,9,eng,0,True
364,0,mr,male,1,40,9,other,0,True
366,0,mr,male,1,32,9,other,0,True
368,1,mrs,female,1,40,9,other,0,True
369,1,miss,female,1,32,9,eng,0,True
372,0,mr,male,1,21,9,other,0,False
373,0,mr,male,1,21,9,eng,0,True
377,1,miss,female,1,26,9,other,0,True
379,0,mr,male,1,21,9,other,0,True
380,0,mr,male,1,21,9,other,0,True
383,0,mr,male,1,40,9,other,0,True
385,0,mr,male,1,40,9,other,0,True
389,0,mr,male,1,40,9,eng,0,True
392,1,mr,male,1,26,9,other,0,True
393,0,mr,male,1,32,9,other,0,False
396,0,mr,male,1,26,9,other,0,True
397,0,miss,female,1,32,9,other,0,True
401,1,mr,male,1,40,9,other,0,True
402,0,mr,male,1,32,9,eng,0,True
405,0,miss,female,1,21,9,other,0,True
407,0,mr,male,1,51,9,other,0,True
409,0,mr,male,1,26,9,other,0,True
411,0,mr,male,1,40,9,other,0,True
412,0,mr,male,1,40,9,eng,0,True
414,0,mr,male,1,40,9,eng,0,True
415,1,mr,male,1,50,9,other,0,True
416,0,mrs,female,1,40,9,eng,0,True
421,0,mr,male,1,40,9,other,0,True
422,0,mr,male,1,26,9,eng,0,True
423,0,mr,male,1,32,9,other,0,True
426,0,mr,male,1,40,9,other,0,True
429,0,mr,male,1,40,9,eng,0,True
430,1,mr,male,1,40,9,other,1,True
434,0,mr,male,1,21,9,other,0,True
443,0,mr,male,1,26,9,other,0,False
445,1,mr,male,1,40,9,other,0,True
455,0,mr,male,1,40,9,eng,0,True
456,1,mr,male,1,32,9,other,0,True
460,0,mr,male,1,40,9,eng,0,True
462,0,mr,male,1,40,9,eng,0,True
465,0,mr,male,1,40,9,eng,0,True
466,0,mr,male,1,40,9,other,0,True
467,0,mr,male,1,40,9,eng,0,True
469,0,mr,male,1,40,9,eng,0,True
471,0,mr,male,1,40,9,eng,0,True
472,0,mr,male,1,40,9,other,0,True
478,0,mr,male,1,32,9,eng,0,False
479,0,mr,male,1,26,9,other,0,True
482,0,mr,male,1,40,9,eng,0,True
483,0,mr,male,1,51,9,eng,0,True
489,0,mr,male,1,32,9,eng,0,True
492,0,mr,male,1,26,9,other,0,True
495,0,mr,male,1,26,9,eng,0,True
500,0,mr,male,1,26,9,other,0,True
501,0,mr,male,1,21,9,other,0,True
502,0,miss,female,1,26,9,eng,0,True
503,0,miss,female,1,32,9,eng,0,True
511,1,mr,male,1,32,9,eng,0,True
512,0,mr,male,1,40,9,eng,0,True
515,0,mr,male,1,26,9,other,0,True
520,0,mr,male,1,40,9,other,0,True
522,0,mr,male,1,26,9,other,0,True
523,0,mr,male,1,40,9,other,0,True
525,0,mr,male,1,40,9,other,0,True
526,0,mr,male,1,50,9,eng,0,True
529,0,mr,male,1,40,9,other,0,True
532,0,mr,male,1,40,9,other,0,True
533,0,mr,male,1,21,9,eng,0,False
535,0,miss,female,1,32,9,other,0,True
553,0,mr,male,1,40,9,eng,0,True
554,1,mr,male,1,26,9,other,0,True
555,1,miss,female,1,26,9,other,0,True
561,0,mr,male,1,40,9,eng,0,True
562,0,mr,male,1,50,9,other,0,True
564,0,mr,male,1,40,9,eng,0,True
565,0,miss,female,1,32,9,other,0,True
567,0,mr,male,1,21,9,other,0,True
569,0,mr,male,1,40,9,other,0,True
570,1,mr,male,1,40,9,other,0,True
574,1,miss,female,1,32,9,eng,0,True
575,0,mr,male,1,21,9,eng,0,True
580,1,mr,male,1,40,9,other,0,True
585,0,mr,male,1,40,9,other,0,True
589,0,mr,male,1,26,9,other,0,True
590,0,mr,male,1,40,9,eng,0,True
591,0,mr,male,1,40,9,other,0,True
593,0,mr,male,1,50,9,eng,0,True
594,0,miss,female,1,21,9,eng,0,False
598,0,mr,male,1,50,9,eng,0,True
599,0,mr,male,1,40,9,other,0,True
602,0,mr,male,1,40,9,other,0,True
604,0,mr,male,1,50,9,other,0,True
607,0,mr,male,1,32,9,other,0,True
612,0,mr,male,1,40,9,other,0,True
614,0,mr,male,1,40,9,eng,0,True
615,0,mr,male,1,40,9,eng,0,True
624,0,mr,male,1,26,9,eng,0,True
629,0,mr,male,1,32,9,other,0,True
630,0,mr,male,1,40,9,eng,0,True
632,0,mr,male,1,51,9,other,0,True
634,0,mr,male,1,50,9,eng,0,True
637,0,mr,male,1,40,9,other,0,True
641,0,mr,male,1,21,9,other,0,True
647,0,mr,male,1,21,9,other,0,True
649,0,mr,male,1,40,9,eng,0,True
650,1,miss,female,1,26,9,eng,0,True
651,0,mr,male,1,40,9,other,0,True
653,0,mr,male,1,26,9,other,0,True
654,1,miss,female,1,32,9,eng,0,True
655,0,miss,female,1,21,9,eng,0,True
657,0,mr,male,1,40,9,eng,0,True
662,0,mr,male,1,50,9,other,0,True
664,0,mr,male,1,40,9,other,0,True
665,1,mr,male,1,21,9,other,0,False
668,0,mr,male,1,40,9,other,0,True
669,0,mr,male,1,50,9,eng,0,True
675,0,mr,male,1,40,9,eng,0,True
676,0,mr,male,1,21,9,other,0,True
677,0,mr,male,1,26,9,eng,0,True
681,0,miss,female,1,32,9,eng,0,True
689,0,mr,male,1,21,9,other,0,True
694,0,mr,male,1,26,9,other,0,True
697,0,mr,male,1,50,9,eng,0,True
698,1,miss,female,1,32,9,eng,0,True
700,0,mr,male,1,50,9,other,1,True
704,0,mr,male,1,26,9,eng,0,True
705,0,mr,male,1,32,9,other,0,False
716,0,mr,male,1,21,9,eng,1,True
720,0,mr,male,1,40,9,other,0,True
722,0,mr,male,1,21,9,other,0,False
726,0,mr,male,1,21,9,other,0,True
728,1,miss,female,1,32,9,other,0,True
730,0,miss,female,1,26,9,other,0,False
733,0,mr,male,1,40,9,eng,0,True
739,0,mr,male,1,40,9,other,0,True
740,0,mr,male,1,40,9,other,0,True
745,1,mr,male,1,32,9,other,0,True
750,0,mr,male,1,32,9,eng,0,True
754,0,mr,male,1,26,9,other,0,True
757,0,mr,male,1,32,9,other,0,True
759,0,mr,male,1,40,9,eng,0,True
762,0,mr,male,1,50,9,other,0,True
763,1,mr,male,1,21,9,other,0,True
765,0,mr,male,1,21,9,other,0,True
768,0,miss,female,1,32,9,eng,0,True
770,0,mr,male,1,40,9,eng,0,True
772,0,mr,male,1,50,9,other,0,True
774,0,mr,male,1,40,9,other,0,True
776,0,mr,male,1,21,9,other,0,True
777,0,mr,male,1,40,9,eng,1,True
779,0,mr,male,1,40,9,eng,0,True
781,1,miss,female,1,21,9,other,0,True
785,0,mr,male,1,26,9,eng,0,True
786,0,mr,male,1,26,9,eng,0,True
787,1,miss,female,1,21,9,eng,0,True
791,0,mr,male,1,40,9,eng,0,True
795,0,mr,male,1,26,9,other,0,True
798,1,mrs,female,1,32,9,other,0,True
799,0,mr,male,1,32,9,other,0,True
804,1,master,male,1,13,9,other,0,False
805,1,mr,male,1,32,9,other,0,True
806,0,mr,male,1,32,9,other,0,True
807,0,mr,male,1,40,9,eng,1,True
808,0,miss,female,1,21,9,eng,0,True
811,0,mr,male,1,32,9,eng,0,True
815,0,mr,male,1,32,9,eng,0,True
816,0,mr,male,1,50,9,eng,1,True
817,0,miss,female,1,26,9,other,0,True
819,0,mr,male,1,50,9,eng,0,True
822,1,mr,male,1,32,9,other,0,True
823,0,mr,male,1,40,9,eng,0,True
826,0,mr,male,1,40,9,eng,0,True
829,1,mr,male,1,40,9,eng,0,True
833,0,mr,male,1,40,9,other,0,True
834,0,mr,male,1,26,9,eng,0,True
835,0,mr,male,1,21,9,eng,0,True
837,0,mr,male,1,26,9,other,0,True
838,0,mr,male,1,40,9,eng,0,True
841,0,mr,male,1,21,9,other,0,True
844,0,mr,male,1,40,9,eng,0,True
845,0,mr,male,1,21,9,other,0,True
846,0,mr,male,1,50,9,eng,0,True
848,0,mr,male,1,40,9,other,0,True
852,0,mr,male,1,51,9,other,0,True
860,0,mr,male,1,40,9,other,0,True
871,0,mr,male,1,32,9,eng,0,True
873,0,mr,male,1,40,9,other,1,True
876,1,miss,female,1,21,9,other,0,True
878,0,mr,male,1,21,9,other,0,True
879,0,mr,male,1,40,9,other,0,True
882,0,mr,male,1,40,9,other,0,True
885,0,mr,male,1,26,9,eng,0,True
891,0,mr,male,1,40,9,eng,0,True
8,0,master,male,2,13,40,other,0,False
9,1,mrs,female,2,32,20,eng,0,False
11,1,lass,female,2,13,20,other,1,False
14,0,mr,male,2,40,40,other,0,False
17,0,master,male,2,13,40,eng,0,False
19,0,mrs,female,2,32,20,other,0,False
25,0,lass,female,2,13,40,other,0,False
26,1,mrs,female,2,40,40,other,0,False
39,0,miss,female,2,21,20,other,0,False
40,1,miss,female,2,21,20,other,0,False
41,0,mrs,female,2,50,20,other,0,False
47,0,mr,male,2,32,20,other,0,False
49,0,mr,male,2,32,40,other,0,False
50,0,mrs,female,2,21,20,other,0,False
51,0,master,male,2,13,40,other,0,False
60,0,master,male,2,13,41,eng,0,False
64,0,master,male,2,13,40,other,0,False
66,1,master,male,2,21,20,other,0,False
72,0,miss,female,2,21,41,eng,0,False
74,0,mr,male,2,32,20,other,0,False
75,1,mr,male,2,40,41,eng,0,True
80,1,miss,female,2,32,20,eng,0,True
81,0,mr,male,2,26,20,other,0,True
82,1,mr,male,2,32,20,other,0,True
86,1,mrs,female,2,40,20,other,0,False
87,0,mr,male,2,21,40,eng,0,False
94,0,mr,male,2,32,40,eng,0,False
110,1,miss,female,2,26,40,other,0,False
112,0,miss,female,2,21,20,other,0,False
114,0,miss,female,2,21,20,other,0,False
115,0,miss,female,2,21,20,other,0,True
120,0,lass,female,2,13,40,eng,0,False
126,1,master,male,2,13,20,other,0,False
129,1,miss,female,2,21,40,eng,1,False
133,0,mrs,female,2,50,20,eng,0,False
139,0,mr,male,2,21,20,other,0,True
141,0,mrs,female,2,40,20,eng,0,False
143,1,mrs,female,2,26,20,other,0,False
148,0,lass,female,2,13,40,eng,0,False
154,0,mr,male,2,50,20,eng,0,False
160,0,master,male,2,26,41,eng,0,False
161,0,mr,male,2,50,20,eng,0,False
165,0,master,male,2,13,40,other,0,False
166,1,master,male,2,13,40,eng,0,False
168,0,mrs,female,2,50,40,eng,0,False
170,0,mr,male,2,32,41,eng,0,True
172,0,master,male,2,13,40,eng,0,False
173,1,lass,female,2,13,20,eng,0,False
177,0,master,male,2,21,40,eng,0,False
181,0,miss,female,2,26,41,eng,0,False
183,0,master,male,2,13,40,eng,0,False
185,1,lass,female,2,13,40,other,0,False
187,1,mrs,female,2,40,20,eng,0,False
189,0,mr,male,2,50,20,eng,0,False
201,0,mr,male,2,32,20,other,0,True
202,0,mr,male,2,40,41,eng,0,False
206,0,lass,female,2,13,20,other,1,False
207,0,mr,male,2,40,20,other,0,False
208,1,mr,male,2,32,20,other,0,True
226,0,mr,male,2,26,20,other,0,True
230,0,miss,female,2,21,40,other,0,False
234,1,lass,female,2,13,40,eng,0,False
241,0,miss,female,2,26,20,other,0,False
242,1,miss,female,2,26,20,eng,0,False
252,0,mrs,female,2,32,20,other,1,False
254,0,mr,male,2,32,20,eng,0,False
255,0,mrs,female,2,50,40,other,0,False
256,1,mrs,female,2,32,20,other,0,False
262,1,master,male,2,13,40,other,0,False
267,0,mr,male,2,21,40,other,0,False
279,0,master,male,2,13,40,eng,0,False
280,1,mrs,female,2,40,40,eng,0,False
283,0,mr,male,2,21,20,other,0,True
287,1,mr,male,2,32,20,eng,0,True
302,1,mr,male,2,32,40,eng,0,False
325,0,mr,male,2,40,41,eng,0,False
329,1,mrs,female,2,32,40,eng,0,False
331,1,miss,female,2,26,40,eng,0,False
334,0,mr,male,2,21,20,other,0,False
348,1,mrs,female,2,40,20,eng,0,False
349,1,master,male,2,13,20,eng,0,False
351,0,mr,male,2,26,20,other,0,True
354,0,mr,male,2,26,20,other,0,False
356,0,mr,male,2,32,20,other,0,True
361,0,mr,male,2,50,40,other,0,False
363,0,mrs,female,2,50,20,other,0,False
365,0,mr,male,2,32,20,eng,0,False
375,0,lass,female,2,13,40,other,0,False
382,1,lass,female,2,13,20,other,0,False
387,0,master,male,2,13,41,eng,0,False
395,1,mrs,female,2,26,20,other,1,False
403,0,miss,female,2,26,20,eng,0,False
404,0,mr,male,2,32,20,other,0,False
410,0,miss,female,2,21,40,eng,0,False
420,0,lass,female,2,13,40,other,0,False
424,0,mrs,female,2,32,20,other,0,False
425,0,mr,male,2,21,40,other,0,False
432,1,mrs,female,2,40,20,other,0,False
437,0,miss,female,2,26,40,other,0,False
442,0,mr,male,2,21,20,eng,0,True
449,1,lass,female,2,13,20,other,0,False
452,0,mr,male,2,32,20,other,0,False
470,1,lass,female,2,13,20,other,0,False
475,0,miss,female,2,26,20,eng,0,True
480,1,lass,female,2,13,20,other,0,False
481,0,master,male,2,13,41,eng,0,False
484,1,mrs,female,2,51,20,other,0,True
486,0,miss,female,2,21,40,eng,0,False
490,1,master,male,2,13,20,other,0,False
491,0,mr,male,2,32,20,other,0,False
496,0,mr,male,2,40,20,other,0,True
498,0,mr,male,2,40,20,eng,0,True
504,0,miss,female,2,40,20,other,0,True
509,0,mr,male,2,32,40,eng,0,True
510,1,mr,male,2,32,41,other,0,True
518,0,mr,male,2,40,40,eng,0,True
534,1,mrs,female,2,40,40,other,0,False
539,0,mr,male,2,40,20,eng,0,True
542,0,lass,female,2,13,40,other,0,False
543,0,lass,female,2,13,40,other,0,False
549,0,mr,male,2,40,40,eng,0,False
560,1,mrs,female,2,40,20,other,0,False
566,0,mr,male,2,26,40,eng,0,False
568,0,mrs,female,2,32,40,other,0,False
576,0,mr,male,2,21,20,eng,0,True
579,0,mrs,female,2,40,20,eng,0,False
596,0,mr,male,2,40,40,other,0,False
606,0,mr,male,2,40,20,other,0,False
611,0,mrs,female,2,40,40,other,0,False
613,1,miss,female,2,26,20,eng,0,False
617,0,mr,male,2,40,20,other,0,False
618,0,mrs,female,2,32,20,eng,0,False
621,0,mr,male,2,32,20,other,0,False
623,1,mr,male,2,21,20,other,0,False
625,0,mr,male,2,26,20,eng,0,True
635,0,lass,female,2,13,40,eng,0,False
639,0,mrs,female,2,50,40,other,0,False
640,0,mr,male,2,32,20,other,0,False
643,0,lass,female,2,13,40,other,0,False
644,1,mr,male,2,40,41,other,0,True
645,1,lass,female,2,13,20,other,0,False
658,0,mrs,female,2,40,20,eng,0,False
678,1,miss,female,2,21,20,eng,0,True
679,0,mrs,female,2,50,41,eng,0,False
683,0,mr,male,2,21,20,other,0,True
684,0,mr,male,2,21,41,eng,0,False
687,0,mr,male,2,21,40,other,0,False
688,0,mr,male,2,21,20,other,0,True
692,1,lass,female,2,13,20,other,0,False
693,1,mr,male,2,40,41,other,0,True
703,0,miss,female,2,21,20,other,0,False
710,1,master,male,2,21,20,other,0,False
714,0,mr,male,2,32,20,other,0,True
719,0,mr,male,2,40,20,eng,0,True
732,0,mr,male,2,13,20,other,0,True
736,0,mr,male,2,32,20,eng,0,True
737,0,mrs,female,2,50,40,eng,0,False
744,0,mr,male,2,26,20,eng,0,False
747,0,mr,male,2,21,40,other,0,False
752,1,master,male,2,13,20,other,1,False
753,0,mr,male,2,40,20,other,0,True
761,0,mr,male,2,40,20,eng,0,True
769,0,mr,male,2,32,40,eng,0,False
771,0,mr,male,2,26,20,eng,0,True
778,1,lass,female,2,13,20,eng,0,True
784,0,mr,male,2,40,40,eng,0,False
788,0,master,male,2,13,40,eng,0,False
789,1,master,male,2,13,40,eng,0,False
793,0,miss,female,2,26,41,eng,0,False
800,0,mrs,female,2,32,40,other,0,False
812,0,mr,male,2,40,40,eng,0,True
814,0,lass,female,2,13,40,other,0,False
820,0,master,male,2,13,40,other,0,False
824,1,mrs,female,2,32,20,other,1,False
825,0,master,male,2,13,40,other,0,False
827,0,mr,male,2,40,41,eng,0,True
831,1,mrs,female,2,21,20,other,0,False
839,1,mr,male,2,40,41,other,0,True
847,0,mr,male,2,40,41,eng,0,False
851,0,master,male,2,13,40,other,0,False
853,0,lass,female,2,13,20,other,0,False
856,1,mrs,female,2,21,20,eng,0,False
859,1,mrs,female,2,26,20,other,0,False
861,0,mr,male,2,50,20,other,0,False
864,0,miss,female,2,26,41,eng,0,False
869,0,mr,male,2,40,20,other,0,True
870,1,master,male,2,13,20,eng,0,False
874,0,mr,male,2,50,20,eng,0,True
877,0,mr,male,2,21,20,eng,0,True
883,0,miss,female,2,26,20,other,0,True
886,0,mrs,female,2,40,40,eng,0,False
889,0,miss,female,2,21,40,other,0,False
16,1,mrs,female,3,51,20,eng,0,True
18,1,mr,male,3,40,20,eng,0,True
22,1,mr,male,3,40,20,eng,1,True
34,0,mr,male,3,51,20,eng,0,True
57,1,miss,female,3,26,20,eng,0,True
67,1,mrs,female,3,32,20,eng,1,True
71,0,mr,male,3,40,20,eng,0,True
85,1,miss,female,3,21,20,other,0,True
124,1,miss,female,3,40,20,eng,1,True
135,0,mr,male,3,26,20,eng,0,True
136,0,mr,male,3,26,20,other,0,True
145,0,mr,male,3,21,20,other,0,True
150,0,mr,male,3,50,20,eng,0,True
151,0,mr,male,3,51,20,eng,0,True
162,1,mrs,female,3,50,20,eng,0,True
179,0,mr,male,3,32,20,eng,0,True
182,0,mr,male,3,40,20,eng,0,True
191,1,mrs,female,3,40,20,other,0,True
192,0,mr,male,3,21,20,eng,0,True
200,0,miss,female,3,26,20,other,0,True
214,0,mr,male,3,32,20,other,0,True
220,0,mr,male,3,32,20,eng,0,True
222,0,mr,male,3,32,20,eng,0,True
227,1,mr,male,3,21,20,eng,0,True
229,0,mr,male,3,21,20,other,0,True
233,0,mr,male,3,51,20,other,0,True
235,0,mr,male,3,26,20,eng,0,True
239,0,mr,male,3,21,20,eng,0,True
240,0,mr,male,3,40,20,eng,0,True
243,0,mr,male,3,32,20,eng,0,True
248,1,mrs,female,3,26,20,eng,0,False
266,0,mr,male,3,40,20,eng,0,True
273,1,mrs,female,3,50,20,eng,0,False
289,1,mr,male,3,50,20,other,0,True
293,0,mr,male,3,40,20,eng,1,True
304,1,miss,female,3,40,20,eng,1,True
318,0,mr,male,3,51,20,eng,0,True
323,1,miss,female,3,32,20,eng,0,True
328,1,mrs,female,3,40,20,eng,1,True
343,0,mr,male,3,32,20,other,0,True
344,0,mr,male,3,26,20,eng,0,True
345,0,mr,male,3,40,20,eng,0,True
346,1,miss,female,3,26,20,eng,1,True
347,1,miss,female,3,50,20,other,0,True
358,0,miss,female,3,40,20,eng,0,True
388,1,miss,female,3,40,20,eng,0,True
390,1,miss,female,3,21,20,other,0,True
399,0,mr,male,3,26,20,eng,0,True
400,1,mrs,female,3,32,20,eng,0,True
408,1,master,male,3,13,20,eng,0,False
418,1,miss,female,3,21,20,other,0,False
419,0,mr,male,3,32,20,eng,0,True
438,1,mrs,female,3,26,20,eng,0,False
440,0,mr,male,3,32,20,other,0,True
444,1,miss,female,3,32,20,other,0,True
447,1,miss,female,3,21,20,other,0,False
459,1,miss,female,3,51,20,eng,0,True
464,0,mr,male,3,50,20,eng,0,True
474,1,mrs,female,3,26,20,other,1,True
517,1,mrs,female,3,40,20,eng,1,True
527,1,miss,female,3,51,20,eng,0,True
530,0,mr,male,3,26,20,eng,0,False
548,1,mr,male,3,40,20,eng,0,True
563,0,mr,male,3,32,20,eng,0,True
571,1,mr,male,3,51,20,eng,0,True
577,1,miss,female,3,40,20,eng,0,True
587,0,mr,male,3,50,20,eng,0,True
620,0,mr,male,3,32,20,eng,0,True
627,0,mr,male,3,51,20,eng,0,True
636,1,miss,female,3,32,20,eng,0,True
659,0,mr,male,3,26,20,eng,0,True
667,0,mr,male,3,26,20,eng,0,True
673,0,mr,male,3,51,20,eng,0,True
674,1,mr,male,3,32,20,eng,0,True
696,0,mr,male,3,51,20,eng,0,True
707,1,mrs,female,3,50,20,eng,0,True
715,0,mr,male,3,51,20,eng,0,True
718,1,miss,female,3,32,20,eng,1,True
723,0,mr,male,3,40,20,eng,0,True
724,0,mr,male,3,51,20,eng,0,True
734,0,mr,male,3,26,20,eng,0,True
735,0,mr,male,3,26,20,eng,0,True
748,1,miss,female,3,32,20,eng,0,True
756,1,master,male,3,13,20,other,0,False
758,0,mr,male,3,21,20,eng,0,True
773,0,mrs,female,3,51,20,eng,1,True
796,0,mr,male,3,40,20,eng,0,True
801,0,mr,male,3,40,20,eng,0,True
809,0,mr,male,3,40,20,other,0,True
813,0,mr,male,3,40,20,eng,0,True
832,1,master,male,3,13,20,eng,0,False
842,0,mr,male,3,21,20,eng,0,True
862,0,mr,male,3,26,20,eng,0,False
865,0,mr,male,3,26,20,eng,0,True
866,1,mrs,female,3,50,20,other,0,True
867,1,miss,female,3,32,20,other,0,False
884,0,mr,male,3,32,20,eng,0,True
887,0,mr,male,3,32,20,other,0,True
2,1,mrs,female,4,40,41,eng,1,False
4,1,mrs,female,4,40,41,other,1,False
7,0,mr,male,4,51,41,eng,1,True
10,1,mrs,female,4,21,40,eng,0,False
12,1,miss,female,4,51,40,eng,1,True
21,0,mr,male,4,40,40,eng,0,True
24,1,mr,male,4,32,40,eng,1,True
28,0,mr,male,4,21,41,eng,1,False
31,0,mr,male,4,50,40,other,0,True
32,1,mrs,female,4,40,41,eng,1,False
35,0,mr,male,4,32,41,eng,0,False
36,0,mr,male,4,50,41,eng,0,False
42,0,mrs,female,4,32,40,eng,0,False
44,1,lass,female,4,13,41,other,0,False
53,1,mrs,female,4,50,41,eng,1,False
54,1,mrs,female,4,32,40,eng,0,False
55,0,mr,male,4,51,41,other,1,False
56,1,mr,male,4,50,40,eng,1,True
59,1,lass,female,4,13,40,eng,0,False
62,1,miss,female,4,40,41,other,1,True
63,0,mr,male,4,50,41,eng,1,False
65,0,mr,male,4,50,40,eng,0,True
73,0,mr,male,4,26,41,eng,0,True
79,1,master,male,4,13,40,eng,0,False
84,0,mr,male,4,32,41,other,0,True
89,1,miss,female,4,26,41,eng,1,False
93,0,mr,male,4,50,41,eng,1,False
97,0,mr,male,4,51,40,eng,1,True
98,1,mr,male,4,26,41,eng,1,False
99,1,mrs,female,4,40,40,eng,0,False
100,0,mr,male,4,40,40,other,0,False
103,0,mr,male,4,26,41,eng,1,False
111,0,mr,male,4,50,41,eng,1,True
118,0,mr,male,4,32,40,eng,0,False
119,0,mr,male,4,26,41,eng,1,False
121,0,mr,male,4,26,41,eng,0,False
123,0,mr,male,4,40,40,eng,0,False
125,0,mr,male,4,51,41,other,1,False
134,1,mrs,female,4,32,40,other,0,False
137,1,miss,female,4,21,40,eng,1,False
138,0,mr,male,4,40,41,other,1,False
140,0,mr,male,4,26,41,eng,1,True
146,0,mr,male,4,21,40,eng,0,False
149,0,mr,male,4,40,40,other,1,False
152,1,mrs,female,4,26,41,eng,1,False
