pid,survived,pclass,name,sex,age,sisp,pach,prefix,ticket,fare,cabin,port
105,0,3,1,0,5,2,0,0,3101276,0,0,1
106,0,3,1,0,5,0,0,0,349207,0,0,1
107,1,3,4,1,3,0,0,0,343120,0,0,1
108,1,3,1,0,7,0,0,0,312991,0,0,1
109,0,3,1,0,6,0,0,0,349249,0,0,1
110,1,3,4,1,7,1,0,0,371110,2,0,3
111,0,1,1,0,6,0,0,0,110465,5,3,1
112,0,3,4,1,2,1,0,0,2665,1,0,2
113,0,3,1,0,3,0,0,0,324669,0,0,1
114,0,3,4,1,3,1,0,0,4136,0,0,1
115,0,3,4,1,2,0,0,0,2627,1,0,2
116,0,3,1,0,3,0,0,18,3101294,0,0,1
117,0,3,1,0,6,0,0,0,370369,0,0,3
118,0,2,1,0,5,1,0,0,11668,2,0,1
119,0,1,1,0,4,0,1,20,17558,9,2,2
120,0,3,4,1,0,4,2,0,347082,3,0,1
121,0,2,1,0,3,2,0,15,14879,7,0,1
122,0,3,1,0,7,0,0,30,54510,0,0,1
123,0,2,1,0,5,1,0,0,237736,3,0,2
124,1,2,4,1,5,0,0,0,27267,1,5,1
125,0,1,1,0,6,0,1,0,35281,7,4,1
126,1,3,3,0,2,1,0,0,2651,1,0,2
127,0,3,1,0,7,0,0,0,370372,0,0,3
128,1,3,1,0,4,0,0,9,17369,0,0,1
129,1,3,4,1,7,1,1,0,2668,2,6,2
130,0,3,1,0,6,0,0,0,347061,0,0,1
131,0,3,1,0,5,0,0,0,349241,0,0,2
132,0,3,1,0,3,0,0,32,3101307,0,0,1
133,0,3,5,1,6,1,0,14,3337,1,0,1
134,1,2,5,1,5,1,0,0,228414,2,0,1
135,0,2,1,0,4,0,0,12,29178,1,0,1
136,0,2,1,0,3,0,0,1,2133,1,0,2
137,1,1,4,1,3,0,2,0,11752,2,4,1
138,0,1,1,0,5,1,0,0,113803,5,3,1
139,0,3,1,0,2,0,0,0,7534,0,0,1
140,0,1,1,0,4,0,0,20,17593,7,2,2
141,0,3,5,1,7,0,2,0,2678,1,0,2
142,1,3,4,1,3,0,0,0,347081,0,0,1
143,1,3,5,1,4,1,0,18,3101279,1,0,1
144,0,3,1,0,3,0,0,0,365222,0,0,3
145,0,2,1,0,3,0,0,0,231945,1,0,1
146,0,2,1,0,3,1,1,12,33112,3,0,1
147,1,3,1,0,4,0,0,0,350043,0,0,1
148,0,3,4,1,1,2,2,27,6608,3,0,1
149,0,2,1,0,5,0,2,0,230080,2,6,1
150,0,2,2,0,6,0,0,0,244310,1,0,1
151,0,2,2,0,6,0,0,26,1166,1,0,1
152,1,1,5,1,3,1,0,0,113776,6,3,1
153,0,3,1,0,6,0,0,14,11206,0,0,1
154,0,3,1,0,6,0,2,14,851,1,0,1
155,0,3,1,0,7,0,0,19,265302,0,0,1
156,0,1,1,0,6,0,1,20,17597,6,0,2
157,1,3,4,1,2,0,0,0,35851,0,0,3
158,0,3,1,0,5,0,0,32,392090,0,0,1
159,0,3,1,0,7,0,0,0,315037,0,0,1
160,0,3,3,0,7,8,2,12,2343,6,0,1
161,0,3,1,0,6,0,1,0,371362,1,0,1
162,1,2,5,1,6,0,0,12,33595,1,0,1
163,0,3,1,0,4,0,0,0,347068,0,0,1
164,0,3,1,0,2,0,0,0,315093,0,0,1
165,0,3,3,0,0,4,1,0,3101295,3,0,1
166,1,3,3,0,1,0,2,0,363291,2,0,1
167,1,1,5,1,7,0,1,0,113505,5,5,1
168,0,3,5,1,6,1,4,0,347088,2,0,1
169,0,1,1,0,7,0,0,20,17318,2,0,1
170,0,3,1,0,5,0,0,0,1601,5,0,1
171,0,1,1,0,6,0,0,0,111240,3,2,1
172,0,3,3,0,0,4,1,0,382652,2,0,3
173,1,3,4,1,0,1,1,0,347742,1,0,1
174,0,3,1,0,3,0,0,18,3101280,0,0,1
175,0,1,1,0,6,0,0,0,17764,3,1,2
176,0,3,1,0,3,1,1,0,350404,0,0,1
177,0,3,3,0,7,3,1,0,4133,2,0,1
178,0,1,4,1,6,0,0,20,17595,2,3,2
179,0,2,1,0,5,0,0,0,250653,1,0,1
180,0,3,1,0,5,0,0,0,0,0,0,1
181,0,3,4,1,7,8,2,12,2343,6,0,1
182,0,2,1,0,7,0,0,1,2131,1,0,2
183,0,3,3,0,1,4,2,0,347077,3,0,1
184,1,2,3,0,0,2,1,0,230136,3,6,1
185,1,3,4,1,0,0,2,0,315153,2,0,1
186,0,1,1,0,7,0,0,0,113767,5,1,1
187,1,3,5,1,7,1,0,0,370365,1,0,3
188,1,1,1,0,6,0,0,0,111428,2,0,1
189,0,3,1,0,6,1,1,0,364849,1,0,3
190,0,3,1,0,5,0,0,0,349247,0,0,1
191,1,2,5,1,5,0,0,0,234604,1,0,1
192,0,2,1,0,3,0,0,0,28424,1,0,1
193,1,3,4,1,3,1,0,0,350046,0,0,1
194,1,2,3,0,0,1,1,0,230080,2,6,1
195,1,1,5,1,6,0,0,20,17610,2,2,2
196,1,1,4,1,6,0,0,20,17569,9,2,2
197,0,3,1,0,7,0,0,0,368703,0,0,3
198,0,3,1,0,6,0,1,0,4579,0,0,1
199,1,3,4,1,7,0,0,0,370370,0,0,3
200,0,2,4,1,4,0,0,0,248747,1,0,1
201,0,3,1,0,5,0,0,0,345770,0,0,1
202,0,3,1,0,7,8,2,12,2343,6,0,1
203,0,3,1,0,5,0,0,0,3101264,0,0,1
204,0,3,1,0,6,0,0,0,2628,0,0,2
205,1,3,1,0,3,0,0,14,3540,0,0,1
206,0,3,4,1,0,0,1,0,347054,1,7,1
207,0,3,1,0,5,1,0,0,3101278,1,0,1
208,1,3,1,0,4,0,0,0,2699,1,0,2
209,1,3,4,1,2,0,0,0,367231,0,0,3
210,1,1,1,0,6,0,0,0,112277,3,1,2
211,0,3,1,0,4,0,0,32,3101311,0,0,1
212,1,2,4,1,5,0,0,6,13528,2,0,1
213,0,3,1,0,3,0,0,14,21174,0,0,1
214,0,2,1,0,5,0,0,0,250646,1,0,1
215,0,3,1,0,7,1,0,0,367229,0,0,3
216,1,1,4,1,5,1,0,0,35273,9,4,2
217,1,3,4,1,4,0,0,18,3101283,0,0,1
218,0,2,1,0,6,1,0,0,243847,2,0,1
219,1,1,4,1,5,0,0,0,11813,7,4,2
220,0,2,1,0,5,0,0,27,14208,1,0,1
221,1,3,1,0,2,0,0,32,392089,0,0,1
222,0,2,1,0,4,0,0,0,220367,1,0,1
223,0,3,1,0,6,0,0,0,21440,0,0,1
224,0,3,1,0,7,0,0,0,349234,0,0,1
225,1,1,1,0,6,1,0,0,19943,9,3,1
226,0,3,1,0,3,0,0,29,4348,0,0,1
227,1,2,1,0,3,0,0,8,751,1,0,1
228,0,3,1,0,3,0,0,14,21173,0,0,1
229,0,2,1,0,3,0,0,0,236171,1,0,1
230,0,3,4,1,7,3,1,0,4133,2,0,1
231,1,1,5,1,5,1,0,0,36973,8,3,1
232,0,3,1,0,5,0,0,0,347067,0,0,1
233,0,2,1,0,6,0,0,0,237442,1,0,1
234,1,3,4,1,0,4,2,0,347077,3,0,1
235,0,2,1,0,4,0,0,12,29566,1,0,1
236,0,3,4,1,7,0,0,27,6609,0,0,1
237,0,2,1,0,6,1,0,0,26707,2,0,1
238,1,2,4,1,1,0,2,12,31921,2,0,1
239,0,2,1,0,3,0,0,0,28665,1,0,1
240,0,2,1,0,5,0,0,23,1585,1,0,1
241,0,3,4,1,7,1,0,0,2665,1,0,2
242,1,3,4,1,7,1,0,0,367230,1,0,3
243,0,2,1,0,5,0,0,27,14263,1,0,1
244,0,3,1,0,3,0,0,18,3101275,0,0,1
245,0,3,1,0,5,0,0,0,2694,0,0,2
246,0,1,2,0,6,2,0,0,19928,9,3,3
247,0,3,4,1,4,0,0,0,347071,0,0,1
248,1,2,5,1,4,0,2,0,250649,1,0,1
249,1,1,1,0,5,1,1,0,11751,5,4,1
250,0,2,2,0,6,1,0,0,244252,2,0,1
251,0,3,1,0,7,0,0,0,362316,0,0,1
252,0,3,5,1,5,1,1,0,347054,1,7,1
253,0,1,1,0,6,0,0,0,113514,2,3,1
254,0,3,1,0,5,1,0,14,3336,1,0,1
255,0,3,5,1,6,0,2,0,370129,2,0,1
256,1,3,5,1,5,0,2,0,2650,1,0,2
257,1,1,5,1,7,0,0,20,17585,7,0,2
258,1,1,4,1,5,0,0,0,110152,8,2,1
259,1,1,4,1,5,0,0,20,17755,9,0,2
260,1,2,5,1,6,0,1,0,230433,2,0,1
261,0,3,1,0,7,0,0,0,384461,0,0,3
262,1,3,3,0,0,4,2,0,347077,3,0,1
263,0,1,1,0,6,1,1,0,110413,7,5,1
264,0,1,1,0,6,0,0,0,112059,0,2,1
265,0,3,4,1,7,0,0,0,382649,0,0,3
266,0,2,1,0,5,0,0,12,17248,1,0,1
267,0,3,1,0,2,4,1,0,3101295,3,0,1
268,1,3,1,0,4,1,0,0,347083,0,0,1
269,1,1,5,1,6,0,1,20,17582,9,3,1
270,1,1,4,1,5,0,0,20,17760,9,3,1
271,0,1,1,0,7,0,0,0,113798,3,0,1
272,1,3,1,0,4,0,0,0,0,0,0,1
273,1,2,5,1,6,0,1,0,250644,1,0,1
274,0,1,1,0,5,0,1,20,17596,2,3,2
275,1,3,4,1,7,0,0,0,370375,0,0,3
276,1,1,4,1,6,1,0,0,13502,7,4,1
277,0,3,4,1,6,0,0,0,347073,0,0,1
278,0,2,1,0,7,0,0,0,239853,0,0,1
279,0,3,3,0,1,4,1,0,382652,2,0,3
280,1,3,5,1,5,1,1,12,2673,2,0,1
281,0,3,1,0,6,0,0,0,336439,0,0,3
282,0,3,1,0,5,0,0,0,347464,0,0,1
283,0,3,1,0,2,0,0,0,345778,0,0,1
284,1,3,1,0,3,0,0,14,10482,0,0,1
285,0,1,1,0,7,0,0,0,113056,2,1,1
286,0,3,1,0,5,0,0,0,349239,0,0,2
287,1,3,1,0,5,0,0,0,345774,0,0,1
288,0,3,1,0,3,0,0,0,349206,0,0,1
289,1,2,1,0,6,0,0,0,237798,1,0,1
290,1,3,4,1,3,0,0,0,370373,0,0,3
291,1,1,4,1,4,0,0,0,19877,7,0,1
292,1,1,5,1,3,1,0,0,11967,9,2,2
293,0,2,1,0,5,0,0,1,2163,1,4,2
294,0,3,4,1,4,0,0,0,349236,0,0,1
295,0,3,1,0,4,0,0,0,349233,0,0,1
296,0,1,1,0,7,0,0,20,17612,2,0,2
297,0,3,1,0,3,0,0,0,2693,0,0,2
298,0,1,4,1,0,1,2,0,113781,9,3,1
299,1,1,1,0,7,0,0,0,19988,3,3,1
300,1,1,5,1,6,0,1,20,17558,9,2,2
301,1,3,4,1,7,0,0,0,9234,0,0,3
302,1,3,1,0,7,2,0,0,367226,2,0,3
303,0,3,1,0,3,0,0,0,0,0,0,1
304,1,2,4,1,7,0,0,0,226593,1,5,3
305,0,3,1,0,7,0,0,14,2466,0,0,1
306,1,1,3,0,0,1,2,0,113781,9,3,1
307,1,1,4,1,7,0,0,0,17421,9,0,2
308,1,1,5,1,2,1,0,20,17758,9,3,2
309,0,2,1,0,5,1,0,11,3381,2,0,2
310,1,1,4,1,5,0,0,20,17485,5,5,2
311,1,1,4,1,4,0,0,0,11767,8,3,2
312,1,1,4,1,3,2,2,20,17608,9,2,2
313,0,2,5,1,4,1,1,0,250651,2,0,1
314,0,3,1,0,5,0,0,0,349243,0,0,1
315,0,2,1,0,6,1,1,6,13529,2,0,1
316,1,3,4,1,4,0,0,0,347470,0,0,1
317,1,2,5,1,4,1,0,0,244367,2,0,1
318,0,2,2,0,6,0,0,0,29011,1,0,1
319,1,1,4,1,5,0,2,0,36928,9,3,1
320,1,1,5,1,6,1,1,0,16966,9,5,2
321,0,3,1,0,3,0,0,14,21172,0,0,1
322,0,3,1,0,4,0,0,0,349219,0,0,1
323,1,2,4,1,5,0,0,0,234818,1,0,3
324,1,2,5,1,3,1,1,0,248738,2,0,1
325,0,3,1,0,7,8,2,12,2343,6,0,1
326,1,1,4,1,5,0,0,20,17760,9,3,2
327,0,3,1,0,6,0,0,0,345364,0,0,1
328,1,2,5,1,5,0,0,0,28551,1,4,1
329,1,3,5,1,5,1,1,0,363291,2,0,1
330,1,1,4,1,2,0,1,0,111361,5,2,2
331,1,3,4,1,7,2,0,0,367226,2,0,3
332,0,1,1,0,6,0,0,0,113043,2,3,1
333,0,1,1,0,6,0,1,20,17582,9,3,1
334,0,3,1,0,2,2,0,0,345764,1,0,1
335,1,1,5,1,7,1,0,20,17611,9,0,1
336,0,3,1,0,7,0,0,0,349225,0,0,1
337,0,1,1,0,5,1,0,0,113776,6,3,1
338,1,1,4,1,6,0,0,0,16966,9,5,2
339,1,3,1,0,6,0,0,0,7598,0,0,1
340,0,1,1,0,6,0,0,0,113784,3,8,1
341,1,2,3,0,0,1,1,0,230080,2,6,1
342,1,1,4,1,4,3,2,0,19950,9,3,1
343,0,2,1,0,5,0,0,0,248740,1,0,1
344,0,2,1,0,4,0,0,0,244361,1,0,1
345,0,2,1,0,5,0,0,0,229236,1,0,1
346,1,2,4,1,4,0,0,0,248733,1,6,1
347,1,2,4,1,6,0,0,0,31418,1,0,1
348,1,3,5,1,7,1,0,0,386525,1,0,1
349,1,3,3,0,0,1,1,12,37671,1,0,1
350,0,3,1,0,6,0,0,0,315088,0,0,1
351,0,3,1,0,3,0,0,0,7267,0,0,1
352,0,1,1,0,7,0,0,0,113510,3,3,1
353,0,3,1,0,2,1,1,0,2695,0,0,2
354,0,3,1,0,4,1,0,0,349237,1,0,1
355,0,3,1,0,7,0,0,0,2647,0,0,2
356,0,3,1,0,5,0,0,0,345783,0,0,1
357,1,1,4,1,3,0,1,0,113505,5,5,1
358,0,2,4,1,6,0,0,0,237671,1,0,1
359,1,3,4,1,7,0,0,0,330931,0,0,3
360,1,3,4,1,7,0,0,0,330980,0,0,3
361,0,3,1,0,6,1,4,0,347088,2,0,1
362,0,2,1,0,5,1,0,1,2167,2,0,2
363,0,3,5,1,6,0,1,0,2691,1,0,2
364,0,3,1,0,5,0,0,32,3101310,0,0,1
365,0,3,1,0,7,1,0,0,370365,1,0,3
366,0,3,1,0,5,0,0,9,7076,0,0,1
367,1,1,5,1,6,1,0,0,110813,7,4,2
368,1,3,5,1,7,0,0,0,2626,0,0,2
369,1,3,4,1,7,0,0,0,14313,0,0,3
370,1,1,5,1,4,0,0,20,17477,6,2,2
371,1,1,1,0,4,1,0,0,11765,5,5,2
372,0,3,1,0,3,1,0,0,3101267,0,0,1
373,0,3,1,0,3,0,0,0,323951,0,0,1
374,0,1,1,0,3,0,0,20,17760,9,0,2
375,0,3,4,1,0,3,1,0,349909,2,0,1
376,1,1,5,1,7,1,0,20,17604,8,0,2
377,1,3,4,1,3,0,0,9,7077,0,0,1
378,0,1,1,0,4,0,2,0,113503,9,3,2
379,0,3,1,0,3,0,0,0,2648,0,0,2
380,0,3,1,0,3,0,0,0,347069,0,0,1
381,1,1,4,1,6,0,0,20,17757,9,0,2
382,1,3,4,1,0,0,2,0,2653,1,0,2
383,0,3,1,0,5,0,0,18,3101293,0,0,1
384,1,1,5,1,5,1,0,0,113789,5,0,1
385,0,3,1,0,7,0,0,0,349227,0,0,1
386,0,2,1,0,3,0,0,15,14879,7,0,1
387,0,3,3,0,0,5,2,12,2144,4,0,1
388,1,2,4,1,5,0,0,0,27849,1,0,1
389,0,3,1,0,7,0,0,0,367655,0,0,3
390,1,2,4,1,2,0,0,2,1748,1,0,2
391,1,1,1,0,5,1,2,0,113760,9,2,1
392,1,3,1,0,3,0,0,0,350034,0,0,1
393,0,3,1,0,5,2,0,0,3101277,0,0,1
394,1,1,4,1,3,1,0,0,35273,9,4,2
395,1,3,5,1,4,0,2,29,9549,1,7,1
396,0,3,1,0,3,0,0,0,350052,0,0,1
397,0,3,4,1,5,0,0,0,350407,0,0,1
398,0,2,1,0,6,0,0,0,28403,2,0,1
399,0,2,2,0,3,0,0,0,244278,1,0,1
400,1,2,5,1,5,0,0,0,240929,1,0,1
401,1,3,1,0,6,0,0,18,3101289,0,0,1
402,0,3,1,0,4,0,0,0,341826,0,0,1
403,0,3,4,1,3,1,0,0,4137,0,0,1
404,0,3,1,0,5,1,0,18,3101279,1,0,1
405,0,3,4,1,3,0,0,0,315096,0,0,1
406,0,2,1,0,5,1,0,0,28664,2,0,1
407,0,3,1,0,6,0,0,0,347064,0,0,1
408,1,2,3,0,0,1,1,0,29106,1,0,1
409,0,3,1,0,3,0,0,0,312992,0,0,1
410,0,3,4,1,7,3,1,0,4133,2,0,1
411,0,3,1,0,7,0,0,0,349222,0,0,1
412,0,3,1,0,7,0,0,0,394140,0,0,3
413,1,1,4,1,5,1,0,0,19928,9,3,3
414,0,2,1,0,7,0,0,0,239853,0,0,1
415,1,3,1,0,6,0,0,18,3101269,0,0,1
416,0,3,5,1,7,0,0,0,343095,0,0,1
417,1,2,5,1,5,1,1,0,28220,3,0,1
418,1,2,4,1,3,0,2,0,250652,1,0,1
419,0,2,1,0,5,0,0,0,28228,1,0,1
420,0,3,4,1,1,0,2,0,345773,2,0,1
421,0,3,1,0,7,0,0,0,349254,0,0,2
422,0,3,1,0,3,0,0,14,13032,0,0,3
423,0,3,1,0,5,0,0,0,315082,0,0,1
424,0,3,5,1,5,1,1,0,347080,1,0,1
425,0,3,1,0,3,1,1,0,370129,2,0,1
426,0,3,1,0,7,0,0,30,34244,0,0,1
427,1,2,5,1,5,1,0,0,2003,2,0,1
428,1,2,4,1,3,0,0,0,250655,2,0,1
429,0,3,1,0,7,0,0,0,364851,0,0,3
430,1,3,1,0,5,0,0,32,392078,0,5,1
431,1,1,1,0,5,0,0,0,110564,2,3,1
432,1,3,5,1,7,1,0,0,376564,1,0,1
433,1,2,5,1,6,1,0,24,3085,2,0,1
434,0,3,1,0,2,0,0,18,3101274,0,0,1
435,0,1,1,0,6,1,0,0,13507,5,5,1
436,1,1,4,1,2,1,2,0,113760,9,2,1
437,0,3,4,1,3,2,2,27,6608,3,0,1
438,1,2,5,1,4,2,3,0,29106,1,0,1
439,0,1,1,0,6,1,4,0,19950,9,3,1
440,0,2,1,0,5,0,0,12,18723,1,0,1
441,1,2,5,1,6,1,1,6,13529,2,0,1
442,0,3,1,0,3,0,0,0,345769,0,0,1
443,0,3,1,0,4,1,0,0,347076,0,0,1
444,1,2,4,1,5,0,0,0,230434,1,0,1
445,1,3,1,0,7,0,0,0,65306,0,0,1
446,1,1,3,0,0,0,2,0,33638,8,1,1
447,1,2,4,1,2,0,1,0,250644,1,0,1
448,1,1,1,0,5,0,0,0,113794,2,0,1
449,1,3,4,1,0,2,1,0,2666,1,0,2
450,1,1,2,0,6,0,0,0,113786,3,3,1
451,0,2,1,0,5,1,2,12,34651,2,0,1
452,0,3,1,0,7,1,0,0,65303,1,0,1
453,0,1,1,0,5,0,0,0,113051,2,3,2
454,1,1,1,0,6,1,0,0,17453,8,3,2
455,0,3,1,0,7,0,0,14,2817,0,0,1
456,1,3,1,0,5,0,0,0,349240,0,0,2
457,0,1,1,0,6,0,0,0,13509,2,5,1
458,1,1,5,1,7,1,0,0,17464,5,4,1
459,1,2,4,1,6,0,0,6,13531,1,0,1
460,0,3,1,0,7,0,0,0,371060,0,0,3
461,1,1,1,0,6,0,0,0,19952,2,5,1
462,0,3,1,0,5,0,0,0,364506,0,0,1
463,0,1,1,0,6,0,0,0,111320,3,5,1
464,0,2,1,0,6,0,0,0,234360,1,0,1
465,0,3,1,0,7,0,0,31,2816,0,0,1
466,0,3,1,0,6,0,0,32,3101306,0,0,1
467,0,2,1,0,7,0,0,0,239853,0,0,1
468,0,1,1,0,6,0,0,0,113792,2,0,1
469,0,3,1,0,7,0,0,0,36209,0,0,3
470,1,3,4,1,0,2,1,0,2666,1,0,2
471,0,3,1,0,7,0,0,0,323592,0,0,1
472,0,3,1,0,6,0,0,0,315089,0,0,1
473,1,2,5,1,5,1,2,12,34651,2,0,1
474,1,2,5,1,3,0,0,36,541,1,4,2
475,0,3,4,1,3,0,0,0,7553,0,0,1
476,0,1,1,0,7,0,0,0,110465,5,1,1
477,0,2,1,0,5,1,0,0,31027,2,0,1
478,0,3,1,0,5,1,0,0,3460,0,0,1
479,0,3,1,0,3,0,0,0,350060,0,0,1
480,1,3,4,1,0,0,1,0,3101298,1,0,1
481,0,3,3,0,1,5,2,12,2144,4,0,1
482,0,2,1,0,7,0,0,0,239854,0,0,1
483,0,3,1,0,6,0,0,14,3594,0,0,1
484,1,3,5,1,6,0,0,0,4134,0,0,1
485,1,1,1,0,4,1,0,0,11967,9,2,2
486,0,3,4,1,7,3,1,0,4133,2,0,1
487,1,1,5,1,5,1,0,0,19943,9,3,1
488,0,1,1,0,6,0,0,0,11771,2,2,2
489,0,3,1,0,5,0,0,14,18509,0,0,1
490,1,3,3,0,1,1,1,12,37671,1,0,1
491,0,3,1,0,7,1,0,0,65304,1,0,1
492,0,3,1,0,3,0,0,32,3101317,0,0,1
493,0,1,1,0,6,0,0,0,113787,3,3,1
494,0,1,1,0,6,0,0,20,17609,4,0,2
495,0,3,1,0,3,0,0,30,45380,0,0,1
496,0,3,1,0,7,0,0,0,2627,1,0,2
497,1,1,4,1,6,1,0,0,36947,7,4,2
498,0,3,1,0,7,0,0,12,6212,1,0,1
499,0,1,5,1,4,1,2,0,113781,9,3,1
500,0,3,1,0,4,0,0,0,350035,0,0,1
501,0,3,1,0,2,0,0,0,315086,0,0,1
502,0,3,4,1,3,0,0,0,364846,0,0,3
503,0,3,4,1,7,0,0,0,330909,0,0,3
504,0,3,4,1,5,0,0,0,4135,0,0,1
505,1,1,4,1,2,0,0,0,110152,8,2,1
506,0,1,1,0,3,1,0,20,17758,9,3,2
507,1,2,5,1,5,0,2,0,26360,2,0,1
508,1,1,1,0,7,0,0,0,111427,2,0,1
509,0,3,1,0,5,0,0,9,4001,2,0,1
510,1,3,1,0,4,0,0,0,1601,5,0,1
511,1,3,1,0,5,0,0,0,382651,0,0,3
512,0,3,1,0,7,0,0,32,3101316,0,0,1
513,1,1,1,0,5,0,0,20,17473,2,5,1
514,1,1,5,1,6,1,0,20,17603,5,0,2
