pid,survived,pclass,honor,origin,sex,age,sisp,pach,ticket,fare,cabin,port
85,1,2,4,3,1,5,0,0,5,1,0,1
86,1,0,5,3,1,10,3,0,7,1,0,1
87,0,0,1,0,0,5,1,1,4,3,0,1
88,0,0,1,4,0,14,0,0,6,0,0,1
89,1,1,4,0,1,7,3,1,5,5,1,1
90,0,0,1,1,0,8,0,0,6,0,0,1
91,0,0,1,2,0,9,0,0,6,0,0,1
92,0,0,1,0,0,6,0,0,6,0,0,1
93,0,1,1,0,0,12,1,0,4,4,1,1
94,0,0,1,0,0,8,1,1,4,2,0,1
95,0,0,1,0,0,13,0,0,6,0,0,1
96,0,0,1,0,0,14,0,0,6,0,0,1
97,0,1,1,0,0,13,0,0,5,3,1,2
98,1,1,1,0,0,7,0,1,5,4,1,2
99,1,2,5,0,1,10,0,1,6,2,0,1
100,0,2,1,5,0,10,1,0,6,2,0,1
101,0,0,4,0,1,9,0,0,6,0,0,1
102,0,0,1,5,0,14,0,0,6,0,0,1
103,0,1,1,0,0,7,0,1,5,4,1,1
104,0,0,1,2,0,10,0,0,4,0,0,1
105,0,0,1,2,0,11,2,0,7,0,0,1
106,0,0,1,5,0,9,0,0,6,0,0,1
107,1,0,4,0,1,7,0,0,6,0,0,1
108,1,0,1,0,0,14,0,0,6,0,0,1
109,0,0,1,5,0,11,0,0,6,0,0,1
110,1,0,4,3,1,14,1,0,6,2,0,0
111,0,1,1,0,0,12,0,0,6,4,1,1
112,0,0,4,5,1,4,1,0,4,1,0,2
113,0,0,1,0,0,7,0,0,6,0,0,1
114,0,0,4,2,1,6,1,0,4,0,0,1
115,0,0,4,5,1,5,0,0,4,1,0,2
116,0,0,1,2,0,7,0,0,7,0,0,1
117,0,0,1,0,0,13,0,0,6,0,0,0
118,0,2,1,0,0,9,1,0,5,2,0,1
119,0,1,1,0,0,8,0,1,5,5,1,2
120,0,0,4,0,1,0,3,1,6,3,0,1
121,0,2,1,0,0,7,2,0,5,4,0,1
122,0,0,1,0,0,14,0,0,5,0,0,1
123,0,2,1,0,0,10,1,0,6,3,0,2
124,1,2,4,0,1,10,0,0,5,1,1,1
125,0,1,1,1,0,13,0,1,5,4,1,1
126,1,0,3,1,0,4,1,0,4,1,0,2
127,0,0,1,0,0,14,0,0,6,0,0,0
128,1,0,1,2,0,8,0,0,5,0,0,1
129,1,0,4,0,1,14,1,1,4,2,1,2
130,0,0,1,2,0,12,0,0,6,0,0,1
131,0,0,1,3,0,10,0,0,6,0,0,2
132,0,0,1,1,0,6,0,0,7,0,0,1
133,0,0,5,0,1,12,1,0,4,1,0,1
134,1,2,5,3,1,9,1,0,6,2,0,1
135,0,2,1,0,0,8,0,0,5,1,0,1
136,0,2,1,1,0,7,0,0,4,1,0,2
137,1,1,4,0,1,6,0,1,5,2,1,1
138,0,1,1,1,0,11,1,0,6,4,1,1
139,0,0,1,2,0,5,0,0,4,0,0,1
140,0,1,1,0,0,8,0,0,5,4,1,2
141,0,0,5,0,1,14,0,1,4,1,0,2
142,1,0,4,0,1,7,0,0,6,0,0,1
143,1,0,5,2,1,8,1,0,7,1,0,1
144,0,0,1,0,0,6,0,0,6,0,0,0
145,0,2,1,1,0,6,0,0,6,1,0,1
146,0,2,1,0,0,6,1,1,5,3,0,1
147,1,0,1,3,0,9,0,0,6,0,0,1
148,0,0,4,0,1,3,2,1,4,3,0,1
149,0,2,1,1,0,11,0,1,6,2,1,1
150,0,2,2,0,0,12,0,0,6,1,0,1
151,0,2,2,0,0,13,0,0,4,1,0,1
152,1,1,5,0,1,7,1,0,6,4,1,1
153,0,0,1,0,0,13,0,0,5,0,0,1
154,0,0,1,0,0,12,0,1,4,1,0,1
155,0,0,1,2,0,14,0,0,6,0,0,1
156,0,1,1,0,0,13,0,1,5,4,0,2
157,1,0,4,0,1,5,0,0,5,0,0,0
158,0,0,1,0,0,10,0,0,6,0,0,1
159,0,0,1,4,0,14,0,0,6,0,0,1
160,0,0,3,0,0,14,3,1,4,4,0,1
161,0,0,1,0,0,12,0,1,6,1,0,1
162,1,2,5,0,1,12,0,0,5,1,0,1
163,0,0,1,0,0,8,0,0,6,0,0,1
164,0,0,1,4,0,5,0,0,6,0,0,1
165,0,0,3,2,0,0,3,1,7,3,0,1
166,1,0,3,0,0,3,0,1,6,2,0,1
167,1,1,5,0,1,14,0,1,6,4,1,1
168,0,0,5,0,1,12,1,1,6,2,0,1
169,0,1,1,0,0,14,0,0,5,2,0,1
170,0,0,1,0,0,9,0,0,4,4,0,1
171,0,1,1,5,0,13,0,0,6,3,1,1
172,0,0,3,0,0,1,3,1,6,2,0,0
173,1,0,4,0,1,0,1,1,6,1,0,1
174,0,0,1,2,0,7,0,0,7,0,0,1
175,0,1,1,0,0,13,0,0,5,3,1,2
176,0,0,1,2,0,6,1,1,6,0,0,1
177,0,0,3,0,0,14,3,1,4,2,0,1
178,0,1,4,0,1,13,0,0,5,2,1,2
179,0,2,1,0,0,10,0,0,6,1,0,1
180,0,0,1,1,0,11,0,0,4,0,0,1
181,0,0,4,0,1,14,3,1,4,4,0,1
182,0,2,1,0,0,14,0,0,4,1,0,2
183,0,0,3,0,0,3,3,1,6,3,0,1
184,1,2,3,0,0,0,2,1,6,3,1,1
185,1,0,4,3,1,1,0,1,6,2,0,1
186,0,1,1,0,0,14,0,0,6,4,1,1
187,1,0,5,0,1,14,1,0,6,1,0,0
188,1,1,1,0,0,12,0,0,6,2,0,1
189,0,0,1,0,0,12,1,1,6,1,0,0
190,0,0,1,4,0,11,0,0,6,0,0,1
191,1,2,5,1,1,10,0,0,6,1,0,1
192,0,2,1,0,0,6,0,0,5,1,0,1
193,1,0,4,1,1,6,1,0,6,0,0,1
194,1,2,3,1,0,1,1,1,6,2,1,1
195,1,1,5,0,1,12,0,0,5,2,1,2
196,1,1,4,3,1,13,0,0,5,5,1,2
197,0,0,1,0,0,14,0,0,6,0,0,0
198,0,0,1,3,0,12,0,1,4,0,0,1
199,1,0,4,0,1,14,0,0,6,0,0,0
200,0,2,4,1,1,8,0,0,6,1,0,1
201,0,0,1,2,0,9,0,0,6,0,0,1
202,0,0,1,0,0,14,3,1,4,4,0,1
203,0,0,1,3,0,10,0,0,7,0,0,1
204,0,0,1,5,0,12,0,0,4,0,0,2
205,1,0,1,5,0,6,0,0,4,0,0,1
206,0,0,4,1,1,0,0,1,6,1,1,1
207,0,0,1,3,0,10,1,0,7,1,0,1
208,1,0,1,5,0,8,0,0,4,1,0,2
209,1,0,4,0,1,5,0,0,6,0,0,0
210,1,1,1,0,0,12,0,0,6,3,1,2
211,0,0,1,4,0,8,0,0,7,0,0,1
212,1,2,4,4,1,11,0,0,5,2,0,1
213,0,0,1,0,0,7,0,0,5,0,0,1
214,0,2,1,3,0,10,0,0,6,1,0,1
215,0,0,1,0,0,14,1,0,6,0,0,0
216,1,1,4,1,1,10,1,0,5,5,1,2
217,1,0,4,2,1,9,0,0,7,0,0,1
218,0,2,1,0,0,12,1,0,6,2,0,1
219,1,1,4,4,1,10,0,0,5,4,1,2
220,0,2,1,0,0,10,0,0,5,1,0,1
221,1,0,1,0,0,5,0,0,6,0,0,1
222,0,2,1,0,0,9,0,0,6,1,0,1
223,0,0,1,0,0,13,0,0,5,0,0,1
224,0,0,1,1,0,14,0,0,6,0,0,1
225,1,1,1,0,0,11,1,0,5,5,1,1
226,0,0,1,3,0,7,0,0,4,0,0,1
227,1,2,1,0,0,6,0,0,4,1,0,1
228,0,0,1,0,0,6,0,0,5,0,0,1
229,0,2,1,2,0,6,0,0,6,1,0,1
230,0,0,4,1,1,14,3,1,4,2,0,1
231,1,1,5,0,1,11,1,0,5,5,1,1
232,0,0,1,2,0,9,0,0,6,0,0,1
233,0,2,1,3,0,13,0,0,6,1,0,1
234,1,0,4,0,1,1,3,1,6,3,0,1
235,0,2,1,0,0,8,0,0,5,1,0,1
236,0,0,4,0,1,14,0,0,4,0,0,1
237,0,2,1,0,0,12,1,0,5,2,0,1
238,1,2,4,0,1,2,0,1,5,2,0,1
239,0,2,1,0,0,6,0,0,5,1,0,1
240,0,2,1,0,0,10,0,0,4,1,0,1
241,0,0,4,5,1,14,1,0,4,1,0,2
242,1,0,4,0,1,14,1,0,6,1,0,0
243,0,2,1,0,0,9,0,0,5,1,0,1
244,0,0,1,2,0,7,0,0,7,0,0,1
245,0,0,1,5,0,10,0,0,4,0,0,2
246,0,1,2,0,0,12,2,0,5,5,1,0
247,0,0,4,2,1,8,0,0,6,0,0,1
248,1,2,5,0,1,8,0,1,6,1,0,1
249,1,1,1,0,0,11,1,1,5,4,1,1
250,0,2,2,0,0,13,1,0,6,2,0,1
251,0,0,1,0,0,14,0,0,6,0,0,1
252,0,0,5,3,1,9,1,1,6,1,1,1
253,0,1,1,0,0,13,0,0,6,2,1,1
254,0,0,1,0,0,10,1,0,4,1,0,1
255,0,0,5,2,1,12,0,1,6,2,0,1
256,1,0,5,5,1,9,0,1,4,1,0,2
257,1,1,5,0,1,14,0,0,5,4,0,2
258,1,1,4,0,1,10,0,0,6,5,1,1
259,1,1,4,0,1,11,0,0,5,5,0,2
260,1,2,5,0,1,13,0,1,6,2,0,1
261,0,0,1,0,0,14,0,0,6,0,0,0
262,1,0,3,2,0,1,3,1,6,3,0,1
263,0,1,1,2,0,13,1,1,6,4,1,1
264,0,1,1,0,0,12,0,0,6,0,1,1
265,0,0,4,0,1,14,0,0,6,0,0,0
266,0,2,1,0,0,11,0,0,5,1,0,1
267,0,0,1,2,0,5,3,1,7,3,0,1
268,1,0,1,3,0,8,1,0,6,0,0,1
269,1,1,5,0,1,13,0,1,5,5,1,1
270,1,1,4,0,1,11,0,0,5,5,1,1
271,0,1,1,0,0,14,0,0,6,3,0,1
272,1,0,1,0,0,8,0,0,4,0,0,1
273,1,2,5,0,1,12,0,1,6,1,0,1
274,0,1,1,0,0,11,0,1,5,2,1,2
275,1,0,4,0,1,14,0,0,6,0,0,0
276,1,1,4,3,1,13,1,0,5,4,1,1
277,0,0,4,3,1,12,0,0,6,0,0,1
278,0,2,1,0,0,14,0,0,6,0,0,1
279,0,0,3,0,0,2,3,1,6,2,0,0
280,1,0,5,0,1,11,1,1,4,2,0,1
281,0,0,1,0,0,13,0,0,6,0,0,0
282,0,0,1,2,0,9,0,0,6,0,0,1
283,0,0,1,3,0,5,0,0,6,0,0,1
284,1,0,1,0,0,6,0,0,5,0,0,1
285,0,1,1,0,0,14,0,0,6,2,1,1
286,0,0,1,4,0,10,0,0,6,0,0,2
287,1,0,1,0,0,10,0,0,6,0,0,1
288,0,0,1,4,0,7,0,0,6,0,0,1
289,1,2,1,5,0,12,0,0,6,1,0,1
290,1,0,4,0,1,7,0,0,6,0,0,0
291,1,1,4,0,1,8,0,0,5,4,0,1
292,1,1,5,0,1,6,1,0,5,5,1,2
293,0,2,1,0,0,11,0,0,4,1,1,2
294,0,0,4,3,1,8,0,0,6,0,0,1
295,0,0,1,4,0,8,0,0,6,0,0,1
296,0,1,1,3,0,14,0,0,5,2,0,2
297,0,0,1,4,0,7,0,0,4,0,0,2
298,0,1,4,0,1,0,1,1,6,5,1,1
299,1,1,1,1,0,14,0,0,5,3,1,1
300,1,1,5,0,1,13,0,1,5,5,1,2
301,1,0,4,0,1,14,0,0,4,0,0,0
302,1,0,1,0,0,14,2,0,6,2,0,0
303,0,0,1,0,0,6,0,0,4,0,0,1
304,1,2,4,0,1,14,0,0,6,1,1,0
305,0,0,1,0,0,14,0,0,4,0,0,1
306,1,1,3,0,0,0,1,1,6,5,1,1
307,1,1,4,0,1,14,0,0,5,5,0,2
308,1,1,5,0,1,5,1,0,5,5,1,2
309,0,2,1,0,0,10,1,0,4,2,0,2
310,1,1,4,0,1,10,0,0,5,4,1,2
311,1,1,4,0,1,8,0,0,5,5,1,2
312,1,1,4,0,1,6,2,1,5,5,1,2
313,0,2,5,0,1,8,1,1,6,2,0,1
314,0,0,1,5,0,9,0,0,6,0,0,1
315,0,2,1,0,0,12,1,1,5,2,0,1
316,1,0,4,3,1,8,0,0,6,0,0,1
317,1,2,5,5,1,8,1,0,6,2,0,1
318,0,2,2,0,0,13,0,0,5,1,0,1
319,1,1,4,0,1,10,0,1,5,5,1,1
320,1,1,5,1,1,12,1,1,5,5,1,2
321,0,0,1,0,0,7,0,0,5,0,0,1
322,0,0,1,5,0,9,0,0,6,0,0,1
323,1,2,4,0,1,10,0,0,6,1,0,0
324,1,2,5,0,1,7,1,1,6,2,0,1
325,0,0,1,0,0,14,3,1,4,4,0,1
326,1,1,4,1,1,11,0,0,5,5,1,2
327,0,0,1,2,0,13,0,0,6,0,0,1
328,1,2,5,0,1,11,0,0,5,1,1,1
329,1,0,5,0,1,10,1,1,6,2,0,1
330,1,1,4,1,1,5,0,1,6,4,1,2
331,1,0,4,0,1,14,2,0,6,2,0,0
332,0,1,1,0,0,12,0,0,6,2,1,1
333,0,1,1,0,0,11,0,1,5,5,1,1
334,0,0,1,3,0,5,2,0,6,1,0,1
335,1,1,5,0,1,14,1,0,5,5,0,1
336,0,0,1,5,0,14,0,0,6,0,0,1
337,0,1,1,0,0,9,1,0,6,4,1,1
338,1,1,4,0,1,12,0,0,5,5,1,2
339,1,0,1,3,0,12,0,0,4,0,0,1
340,0,1,1,0,0,12,0,0,6,3,1,1
341,1,2,3,1,0,0,1,1,6,2,1,1
342,1,1,4,0,1,8,3,1,5,5,1,1
343,0,2,1,2,0,9,0,0,6,1,0,1
344,0,2,1,0,0,8,0,0,6,1,0,1
345,0,2,1,0,0,11,0,0,6,1,0,1
346,1,2,4,0,1,8,0,0,6,1,1,1
347,1,2,4,1,1,12,0,0,5,1,0,1
348,1,0,5,0,1,14,1,0,6,1,0,1
349,1,0,3,0,0,1,1,1,5,1,0,1
350,0,0,1,4,0,12,0,0,6,0,0,1
351,0,0,1,2,0,7,0,0,4,0,0,1
352,0,1,1,0,0,14,0,0,6,3,1,1
353,0,0,1,5,0,5,1,1,4,0,0,2
354,0,0,1,3,0,8,1,0,6,1,0,1
355,0,0,1,5,0,14,0,0,4,0,0,2
356,0,0,1,3,0,9,0,0,6,0,0,1
357,1,1,4,0,1,7,0,1,6,4,1,1
358,0,2,4,0,1,11,0,0,6,1,0,1
359,1,0,4,0,1,14,0,0,6,0,0,0
360,1,0,4,0,1,14,0,0,6,0,0,0
361,0,0,1,3,0,12,1,1,6,2,0,1
362,0,2,1,1,0,9,1,0,4,2,0,2
363,0,0,5,1,1,12,0,1,4,1,0,2
364,0,0,1,5,0,11,0,0,7,0,0,1
365,0,0,1,0,0,14,1,0,6,1,0,0
366,0,0,1,3,0,10,0,0,4,0,0,1
367,1,1,5,0,1,13,1,0,6,4,1,2
368,1,0,5,5,1,14,0,0,4,0,0,2
369,1,0,4,0,1,14,0,0,5,0,0,0
370,1,1,5,1,1,8,0,0,5,4,1,2
371,1,1,1,0,0,8,1,0,5,4,1,2
372,0,0,1,3,0,6,1,0,7,0,0,1
373,0,0,1,0,0,6,0,0,6,0,0,1
374,0,1,1,2,0,7,0,0,5,5,0,2
375,0,0,4,2,1,1,3,1,6,2,0,1
376,1,1,5,0,1,14,1,0,5,5,0,2
377,1,0,4,1,1,7,0,0,4,0,0,1
378,0,1,1,0,0,9,0,1,6,5,1,2
379,0,0,1,5,0,6,0,0,4,0,0,2
380,0,0,1,3,0,6,0,0,6,0,0,1
381,1,1,4,1,1,12,0,0,5,5,0,2
382,1,0,4,1,1,0,0,1,4,1,0,2
383,0,0,1,2,0,10,0,0,7,0,0,1
384,1,1,5,0,1,11,1,0,6,4,0,1
385,0,0,1,4,0,14,0,0,6,0,0,1
386,0,2,1,0,0,6,0,0,5,4,0,1
387,0,0,3,0,0,0,3,1,4,3,0,1
388,1,2,4,0,1,11,0,0,5,1,0,1
389,0,0,1,0,0,14,0,0,6,0,0,0
390,1,2,4,3,1,5,0,0,4,1,0,2
391,1,1,1,0,0,11,1,1,6,5,1,1
392,1,0,1,3,0,7,0,0,6,0,0,1
393,0,0,1,2,0,9,2,0,7,0,0,1
394,1,1,4,0,1,7,1,0,5,5,1,2
395,1,0,5,2,1,8,0,1,4,1,1,1
396,0,0,1,2,0,7,0,0,6,0,0,1
397,0,0,4,2,1,10,0,0,6,0,0,1
398,0,2,1,0,0,12,0,0,5,2,0,1
399,0,2,2,0,0,7,0,0,6,1,0,1
400,1,2,5,0,1,9,0,0,6,1,0,1
401,1,0,1,2,0,11,0,0,7,0,0,1
402,0,0,1,0,0,8,0,0,6,0,0,1
403,0,0,4,0,1,7,1,0,4,0,0,1
404,0,0,1,2,0,9,1,0,7,1,0,1
405,0,0,4,4,1,6,0,0,6,0,0,1
406,0,2,1,4,0,10,1,0,5,2,0,1
407,0,0,1,3,0,13,0,0,6,0,0,1
408,1,2,3,0,0,1,1,1,5,1,0,1
409,0,0,1,3,0,7,0,0,6,0,0,1
410,0,0,4,0,1,14,3,1,4,2,0,1
411,0,0,1,4,0,14,0,0,6,0,0,1
412,0,0,1,0,0,14,0,0,6,0,0,0
413,1,1,4,0,1,10,1,0,5,5,1,0
414,0,2,1,0,0,14,0,0,6,0,0,1
415,1,0,1,2,0,12,0,0,7,0,0,1
416,0,0,5,0,1,14,0,0,6,0,0,1
417,1,2,5,0,1,10,1,1,5,3,0,1
418,1,2,4,2,1,6,0,1,6,1,0,1
419,0,2,1,0,0,10,0,0,5,1,0,1
420,0,0,4,3,1,3,0,1,6,2,0,1
421,0,0,1,5,0,14,0,0,6,0,0,2
422,0,0,1,0,0,7,0,0,5,0,0,0
423,0,0,1,3,0,9,0,0,6,0,0,1
424,0,0,5,3,1,9,1,1,6,1,0,1
425,0,0,1,2,0,6,1,1,6,2,0,1
426,0,0,1,5,0,14,0,0,5,0,0,1
427,1,2,5,0,1,9,1,0,4,2,0,1
428,1,2,4,0,1,6,0,0,6,2,0,1
429,0,0,1,0,0,14,0,0,6,0,0,0
430,1,0,1,4,0,10,0,0,6,0,1,1
431,1,1,1,3,0,9,0,0,6,2,1,1
432,1,0,5,1,1,14,1,0,6,1,0,1
433,1,2,5,0,1,12,1,0,4,2,0,1
434,0,0,1,4,0,5,0,0,7,0,0,1
435,0,1,1,0,0,13,1,0,5,4,1,1
436,1,1,4,1,1,4,1,1,6,5,1,1
437,0,0,4,5,1,7,2,1,4,3,0,1
438,1,2,5,0,1,8,2,1,5,1,0,1
439,0,1,1,0,0,13,1,1,5,5,1,1
440,0,2,1,2,0,10,0,0,5,1,0,1
441,1,2,5,0,1,12,1,1,5,2,0,1
442,0,0,1,0,0,6,0,0,6,0,0,1
443,0,0,1,2,0,8,1,0,6,0,0,1
444,1,2,4,1,1,9,0,0,6,1,0,1
445,1,0,1,2,0,14,0,0,5,0,0,1
446,1,1,3,0,0,1,0,1,5,5,1,1
447,1,2,4,1,1,4,0,1,6,1,0,1
448,1,1,1,1,0,10,0,0,6,2,0,1
449,1,0,4,1,1,1,2,1,4,1,0,2
450,1,1,2,0,0,13,0,0,6,3,1,1
451,0,2,1,0,0,11,1,1,5,2,0,1
452,0,0,1,2,0,14,1,0,5,1,0,1
453,0,1,1,0,0,10,0,0,6,2,1,2
454,1,1,1,0,0,12,1,0,5,5,1,2
455,0,0,1,0,0,14,0,0,4,0,0,1
456,1,0,1,4,0,9,0,0,6,0,0,2
457,0,1,1,0,0,13,0,0,5,2,1,1
458,1,1,5,0,1,14,1,0,5,4,1,1
459,1,2,4,0,1,13,0,0,5,1,0,1
460,0,0,1,0,0,14,0,0,6,0,0,0
461,1,1,1,0,0,12,0,0,5,2,1,1
462,0,0,1,0,0,10,0,0,6,0,0,1
463,0,1,1,0,0,12,0,0,6,3,1,1
464,0,2,1,0,0,12,0,0,6,1,0,1
465,0,0,1,0,0,14,0,0,4,0,0,1
466,0,0,1,1,0,11,0,0,7,0,0,1
467,0,2,1,0,0,14,0,0,6,0,0,1
468,0,1,1,0,0,13,0,0,6,2,0,1
469,0,0,1,0,0,14,0,0,5,0,0,0
470,1,0,4,2,1,0,2,1,4,1,0,2
471,0,0,1,0,0,14,0,0,6,0,0,1
472,0,0,1,4,0,11,0,0,6,0,0,1
473,1,2,5,0,1,10,1,1,5,2,0,1
474,1,2,5,4,1,7,0,0,4,1,1,2
475,0,0,4,0,1,7,0,0,4,0,0,1
476,0,1,1,0,0,14,0,0,6,4,1,1
477,0,2,1,0,0,10,1,0,5,2,0,1
478,0,0,1,0,0,9,1,0,4,0,0,1
479,0,0,1,2,0,7,0,0,6,0,0,1
480,1,0,4,2,1,0,0,1,7,1,0,1
481,0,0,3,0,0,3,3,1,4,3,0,1
482,0,2,1,0,0,14,0,0,6,0,0,1
483,0,0,1,0,0,13,0,0,4,0,0,1
484,1,0,5,3,1,13,0,0,4,0,0,1
485,1,1,1,0,0,8,1,0,5,5,1,2
486,0,0,4,0,1,14,3,1,4,2,0,1
487,1,1,5,0,1,11,1,0,5,5,1,1
488,0,1,1,0,0,13,0,0,5,2,1,2
489,0,0,1,0,0,10,0,0,5,0,0,1
490,1,0,3,4,0,3,1,1,5,1,0,1
491,0,0,1,3,0,14,1,0,5,1,0,1
492,0,0,1,2,0,7,0,0,7,0,0,1
493,0,1,1,0,0,13,0,0,6,3,1,1
494,0,1,1,1,0,13,0,0,5,3,0,2
495,0,0,1,0,0,7,0,0,5,0,0,1
496,0,0,1,5,0,14,0,0,4,1,0,2
497,1,1,4,0,1,13,1,0,5,4,1,2
498,0,0,1,0,0,14,0,0,4,1,0,1
499,0,1,5,0,1,8,1,1,6,5,1,1
500,0,0,1,2,0,8,0,0,6,0,0,1
501,0,0,1,4,0,5,0,0,6,0,0,1
502,0,0,4,0,1,7,0,0,6,0,0,0
503,0,0,4,0,1,14,0,0,6,0,0,0
504,0,0,4,2,1,11,0,0,4,0,0,1
505,1,1,4,0,1,5,0,0,6,5,1,1
506,0,1,1,0,0,6,1,0,5,5,1,2
507,1,2,5,0,1,10,0,1,5,2,0,1
508,1,1,1,0,0,14,0,0,6,2,0,1
509,0,0,1,0,0,9,0,0,4,2,0,1
510,1,0,1,4,0,8,0,0,4,4,0,1
511,1,0,1,0,0,9,0,0,6,0,0,0
512,0,0,1,0,0,14,0,0,7,0,0,1
513,1,1,1,0,0,11,0,0,5,2,1,1
514,1,1,5,0,1,13,1,0,5,4,0,2
515,0,0,1,5,0,8,0,0,6,0,0,1
516,0,1,1,0,0,12,0,0,5,3,1,1
517,1,2,5,0,1,10,0,0,5,1,1,1
518,0,0,1,0,0,14,0,0,6,2,0,0
519,1,2,5,0,1,11,1,0,6,2,0,1
520,0,0,1,5,0,10,0,0,6,0,0,1
521,1,1,4,1,1,10,0,0,5,5,1,1
522,0,0,1,4,0,7,0,0,6,0,0,1
523,0,0,1,4,0,14,0,0,4,0,0,2
524,1,1,5,1,1,12,0,1,6,4,1,2
525,0,0,1,5,0,14,0,0,4,0,0,2
526,0,0,1,0,0,12,0,0,6,0,0,0
527,1,2,4,0,1,13,0,0,5,1,0,1
528,0,1,1,0,0,14,0,0,5,5,1,1
529,0,0,1,2,0,11,0,0,7,0,0,1
530,0,2,1,0,0,7,2,1,5,1,0,1
531,1,2,4,2,1,0,1,1,5,2,0,1
532,0,0,1,5,0,14,0,0,4,0,0,2
533,0,0,1,0,0,5,1,1,4,0,0,2
534,1,0,5,1,1,14,0,1,4,2,0,2
535,0,0,4,4,1,10,0,0,6,0,0,1
